No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Kyle Anderson\anderky01,SF,6-9,230,September 20 1993,us,R,University of California Los Angeles
11,Jeff Ayres\pendeje02,PF,6-9,240,April 29 1987,us,4,Arizona State University
16,Aron Baynes\baynear01,C,6-10,260,December 9 1986,nz,2,Washington State University
3,Marco Belinelli\belinma01,SG,6-5,210,March 25 1986,it,7,
15,Matt Bonner\bonnema01,PF,6-10,235,April 5 1980,us,10,University of Florida
23,Austin Daye\dayeau01,SF,6-11,220,June 5 1988,us,5,Gonzaga University
33,Boris Diaw\diawbo01,PF,6-8,250,April 16 1982,fr,11,
21,Tim Duncan\duncati01,C,6-11,250,April 25 1976,vi,17,Wake Forest University
20,Manu Ginobili\ginobma01,SG,6-6,205,July 28 1977,ar,12,
14,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,5,University of North Carolina
41,JaMychal Green\greenja01,PF,6-9,227,June 21 1990,us,R,University of Alabama
5,Cory Joseph\josepco01,PG,6-3,193,August 20 1991,ca,3,University of Texas at Austin
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,3,San Diego State University
8,Patty Mills\millspa02,PG,6-0,180,August 11 1988,au,5,Saint Mary's College of California
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,13,
22,Tiago Splitter\splitti01,C,6-11,245,January 1 1985,br,4,
55,Reggie Williams\willire02,SF,6-6,205,September 14 1986,us,5,Virginia Military Institute
