No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Pero Antic\anticpe01,C,6-11,260,July 29 1982,mk,R,
14,Gustavo Ayon\ayongu01,C,6-10,250,April 1 1985,mx,2,
42,Elton Brand\brandel01,C,6-8,275,March 11 1979,us,14,Duke University
5,DeMarre Carroll\carrode01,SF,6-8,215,July 27 1986,us,4,Vanderbilt University University of Missouri
7,Jared Cunningham\cunnija01,SG,6-4,195,May 22 1991,us,1,Oregon State University
15,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,6,University of Florida
12,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,1,Vanderbilt University
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,10,Creighton University
8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,2,Butler University
20,Cartier Martin\martica01,SF,6-7,220,November 20 1984,us,5,Kansas State University
4,Paul Millsap\millspa01,PF,6-8,246,February 10 1985,us,7,Louisiana Tech University
31,Mike Muscala\muscami01,PF,6-11,240,July 1 1991,us,R,Bucknell University
2,James Nunnally\nunnaja01,SF,6-7,208,July 14 1990,us,R,University of California Santa Barbara
45,Dexter Pittman\pittmde01,C,6-11,308,March 2 1988,us,3,University of Texas at Austin
17,Dennis Schroder\schrode01,PG,6-1,172,September 15 1993,de,R,
32,Mike Scott\scottmi01,PF,6-8,237,July 16 1988,us,1,University of Virginia
0,Jeff Teague\teaguje01,PG,6-2,195,June 10 1988,us,4,Wake Forest University
3,Lou Williams\willilo02,PG,6-1,175,October 27 1986,us,8,
