No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Lonzo Ball\balllo01,PG,6-6,190,October 27 1997,us,R,University of California Los Angeles
17,Vander Blue\blueva01,SG,6-4,200,July 17 1992,us,2,Marquette University
66,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,12,University of Utah
3,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,10,University of Florida
31,Thomas Bryant\bryanth01,C,6-11,248,July 31 1997,us,R,Indiana University
1,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,4,University of Georgia
4,Alex Caruso\carusal01,PG,6-5,186,February 28 1994,us,R,Texas A&M University
6,Jordan Clarkson\clarkjo01,SG,6-5,194,June 7 1992,us,3,University of Tulsa University of Missouri
9,Luol Deng\denglu01,SF,6-9,237,April 16 1985,ss,13,Duke University
10,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,3,Syracuse University
12,Channing Frye\fryech01,C,7-0,255,May 17 1983,us,11,University of Arizona
5,Josh Hart\hartjo01,SG,6-5,215,March 6 1995,us,R,Villanova University
15,Nigel Hayes\hayesni01,SF,6-8,254,December 16 1994,us,R,University of Wisconsin
20,Andre Ingram\ingraan01,SG,6-3,190,November 19 1985,us,R,American University
14,Brandon Ingram\ingrabr01,SF,6-9,190,September 2 1997,us,1,Duke University
0,Kyle Kuzma\kuzmaky01,PF,6-9,220,July 24 1995,us,R,University of Utah
11,Brook Lopez\lopezbr01,C,7-0,270,April 1 1988,us,9,Stanford University
7,Larry Nance\nancela02,C,6-9,230,January 1 1993,us,2,University of Wyoming
23,Gary Payton\paytoga02,PG,6-3,190,December 1 1992,us,1,Oregon State University
30,Julius Randle\randlju01,C,6-9,250,November 29 1994,us,3,University of Kentucky
3-7,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,6,University of Washington
21,Travis Wear\weartr01,SF,6-10,230,September 21 1990,us,1,University of North Carolina University of California Los Angeles
6,Derrick Williams\willide02,PF,6-8,240,May 25 1991,us,6,University of Arizona
40,Ivica Zubac\zubaciv01,C,7-1,240,March 18 1997,ba,1,
