No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Jimmy Butler\butleji01,SF,6-8,232,September 14 1989,us,5,Marquette University
0,Isaiah Canaan\canaais01,SG,6-0,201,May 21 1991,us,3,Murray State University
7,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,3,Syracuse University
6,Cristiano Felicio\feliccr01,C,6-10,265,July 7 1992,br,1,
22,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,7,University of Southern California
2,Jerian Grant\grantje02,PG,6-4,205,October 9 1992,us,1,University of Notre Dame
31,R.J. Hunter\hunterj01,SG,6-5,185,October 24 1993,us,1,Georgia State University
77,Joffrey Lauvergne\lauvejo01,C,6-11,220,September 30 1991,fr,2,
8,Robin Lopez\lopezro01,C,7-0,275,April 1 1988,us,8,Stanford University
11,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,2,Creighton University
44,Nikola Mirotic\mirotni01,PF,6-10,250,February 11 1991,me,2,
11,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,8,Georgia Institute of Technology
22,Cameron Payne\payneca01,PG,6-3,190,August 8 1994,us,1,Murray State University
5,Bobby Portis\portibo01,PF,6-11,250,February 10 1995,us,1,University of Arkansas
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,10,University of Kentucky
45,Denzel Valentine\valende01,SG,6-6,210,November 16 1993,us,R,Michigan State University
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,13,Marquette University
16,Paul Zipser\zipsepa01,SF,6-8,215,February 18 1994,de,R,
