No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo\antetgi01,PF,6-11,242,December 6 1994,gr,4,
6,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,7,University of Kentucky
24,Joel Bolomboy\bolomjo01,PF,6-9,235,January 28 1994,ua,1,Weber State University
13,Malcolm Brogdon\brogdma01,PG,6-5,229,December 11 1992,us,1,University of Virginia
23,Sterling Brown\brownst02,SG,6-6,232,February 10 1995,us,R,Southern Methodist University
8,Matthew Dellavedova\dellama01,PG,6-4,200,September 8 1990,au,4,Saint Mary's College of California
31,John Henson\hensojo01,C,6-11,219,December 28 1990,us,5,University of North Carolina
11,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,8,
9,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,3,University of Cincinnati
25,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,4,University of Kentucky
7,Thon Maker\makerth01,C,7-1,221,February 25 1997,ss,1,
22,Khris Middleton\middlkh01,SF,6-8,222,August 12 1991,us,5,Texas A&M University
15,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,7,Georgetown University
15,Shabazz Muhammad\muhamsh01,SG,6-6,223,November 13 1992,us,4,University of California Los Angeles
0,Xavier Munford\munfoxa02,SG,6-2,180,June 1 1992,us,1,University of Rhode Island
12,Jabari Parker\parkeja01,PF,6-8,245,March 15 1995,us,3,Duke University
0,Gary Payton\paytoga02,PG,6-3,190,December 1 1992,us,1,Oregon State University
40,Marshall Plumlee\plumlma02,C,7-0,250,July 14 1992,us,1,Duke University
21,Tony Snell\snellto01,SG,6-7,213,November 10 1991,us,4,University of New Mexico
35,Mirza Teletovic\teletmi01,PF,6-9,242,September 18 1985,ba,5,
3,Jason Terry\terryja01,SG,6-2,185,September 15 1977,us,18,University of Arizona
20,Rashad Vaughn\vaughra01,SG,6-6,202,August 16 1996,us,2,University of Nevada Las Vegas
5,D.J. Wilson\wilsodj01,PF,6-10,231,February 19 1996,us,R,University of Michigan
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,5,University of North Carolina
