No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Kent Bazemore\bazemke01,SF,6-5,201,July 1 1989,us,3,Old Dominion University
10,Tim Hardaway\hardati02,SG,6-6,205,March 16 1992,us,2,University of Michigan
12,Kirk Hinrich\hinriki01,PG,6-4,190,January 2 1981,us,12,University of Kansas
7,Justin Holiday\holidju01,SG,6-6,181,April 5 1989,us,2,University of Washington
15,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,8,University of Florida
43,Kris Humphries\humphkr01,PF,6-9,235,February 6 1985,us,11,University of Minnesota
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,12,Creighton University
8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,4,Butler University
4,Paul Millsap\millspa01,PF,6-8,246,February 10 1985,us,9,Louisiana Tech University
31,Mike Muscala\muscami01,C,6-11,240,July 1 1991,us,2,Bucknell University
13,Lamar Patterson\pattela01,SG,6-5,225,August 12 1991,us,R,University of Pittsburgh
17,Dennis Schroder\schrode01,PG,6-1,172,September 15 1993,de,2,
32,Mike Scott\scottmi01,PF,6-8,237,July 16 1988,us,3,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6-7,220,May 2 1984,ch,9,
11,Tiago Splitter\splitti01,C,6-11,245,January 1 1985,br,5,
22,Edy Tavares\tavarwa01,C,7-3,260,March 22 1992,cv,R,
0,Jeff Teague\teaguje01,PG,6-2,195,June 10 1988,us,6,Wake Forest University
