No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,1,University of Southern California
10,Evan Fournier\fournev01,SG,6-7,205,October 29 1992,fr,2,
8,Channing Frye\fryech01,PF,7-0,255,May 17 1983,us,8,University of Arizona
00,Aaron Gordon\gordoaa01,PF,6-9,220,September 16 1995,us,R,University of Arizona
7,Ben Gordon\gordobe01,SG,6-3,200,April 4 1983,gb,10,University of Connecticut
34,Willie Green\greenwi01,SG,6-4,200,July 28 1981,us,11,University of Detroit Mercy
21,Maurice Harkless\harklma01,SF,6-9,220,May 11 1993,us,2,St. John's University
12,Tobias Harris\harrito02,SF,6-9,235,July 15 1992,us,3,University of Tennessee
11,Devyn Marble\marblde01,SG,6-6,200,September 21 1992,us,R,University of Iowa
44,Andrew Nicholson\nichoan01,PF,6-9,250,December 8 1989,ca,2,St. Bonaventure University
2,Kyle O'Quinn\oquinky01,PF,6-10,250,March 26 1990,us,2,Norfolk State University
5,Victor Oladipo\oladivi01,SG,6-4,210,May 4 1992,us,1,Indiana University
4,Elfrid Payton\paytoel01,PG,6-4,185,February 22 1994,us,R,University of Louisiana at Lafayette
13,Luke Ridnour\ridnolu01,PG,6-2,175,February 13 1981,us,11,University of Oregon
9,Nikola Vucevic\vucevni01,C,7-0,260,October 24 1990,ch,3,University of Southern California
