No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,3,
2,Patrick Beverley\beverpa01,PG,6-1,185,July 12 1988,us,1,University of Arkansas
10,Ronnie Brewer\brewero02,SF,6-7,220,March 20 1985,us,7,University of Arkansas
0,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,5,University of Oregon
1,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,R,Murray State University
18,Omri Casspi\casspom01,PF,6-9,225,June 22 1988,il,4,
33,Robert Covington\covinro01,SF,6-9,225,December 14 1990,us,R,Tennessee State University
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,R,Virginia Commonwealth University
32,Francisco Garcia\garcifr01,SF,6-7,195,December 31 1981,do,8,University of Louisville
5,Jordan Hamilton\hamiljo02,SF,6-7,220,October 6 1990,us,2,University of Texas at Austin
13,James Harden\hardeja01,SG,6-5,220,August 26 1989,us,4,Arizona State University
12,Dwight Howard\howardw01,C,6-11,265,December 8 1985,us,9,
6,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,1,University of Kentucky
7,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,3,Harvard University
20,Donatas Motiejunas\motiedo01,PF,7-0,222,September 20 1990,lt,1,
25,Chandler Parsons\parsoch01,SF,6-10,230,October 25 1988,us,2,University of Florida
21,Josh Powell\poweljo01,PF,6-9,225,January 25 1983,us,6,North Carolina State University
4,Greg Smith\smithgr02,C,6-10,250,January 8 1991,us,2,California State University Fresno
