No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
42,Alexis Ajinca\ajincal01,C,7-2,248,May 6 1988,fr,6,
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,6,
21,Anthony Brown\brownan02,SF,6-7,210,October 10 1992,us,1,Stanford University
18,Omri Casspi\casspom01,PF,6-9,225,June 22 1988,il,7,
22,Quinn Cook\cookqu01,PG,6-2,179,March 23 1993,us,R,Duke University
0,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,6,University of Kentucky
4,Jordan Crawford\crawfjo02,SG,6-4,195,October 23 1988,us,4,Indiana University Xavier University
33,Dante Cunningham\cunnida01,PF,6-8,230,April 22 1987,us,7,Villanova University
23,Anthony Davis\davisan02,C,6-10,253,March 11 1993,us,4,University of Kentucky
13,Cheick Diallo\diallch01,PF,6-9,220,September 13 1996,ml,R,University of Kansas
1,Tyreke Evans\evansty01,SF,6-6,220,September 19 1989,us,7,University of Memphis
2,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,2,Pennsylvania State University
10,Langston Galloway\gallola01,PG,6-2,200,December 9 1991,us,2,Saint Joseph's University
8,Archie Goodwin\goodwar01,SG,6-5,200,August 17 1994,us,3,University of Kentucky
24,Buddy Hield\hieldbu01,SG,6-4,214,December 17 1992,bs,R,University of Oklahoma
44,Solomon Hill\hillso01,SF,6-7,225,March 18 1991,us,3,University of Arizona
11,Jrue Holiday\holidjr01,PG,6-4,205,June 12 1990,us,7,University of California Los Angeles
1,Jarrett Jack\jackja01,PG,6-3,200,October 28 1983,us,11,Georgia Institute of Technology
9,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,4,University of Kentucky
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 25 1989,us,5,Purdue University
12,Donatas Motiejunas\motiedo01,PF,7-0,222,September 20 1990,lt,4,
25,Wayne Selden\seldewa01,SG,6-5,230,September 30 1994,us,R,University of Kansas
5,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,6,University of Cincinnati
32,Hollis Thompson\thompho01,SG,6-8,206,April 3 1991,us,3,Georgetown University
10,Axel Toupane\toupaax01,SF,6-7,197,July 23 1992,fr,1,
5,Reggie Williams\willire02,SF,6-6,205,September 14 1986,us,6,Virginia Military Institute
