No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
41,Cameron Bairstow\bairsca01,PF,6-9,250,December 7 1990,au,R,University of New Mexico
0,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,6,University of Oregon
21,Jimmy Butler\butleji01,SG,6-8,232,September 14 1989,us,3,Marquette University
34,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,12,Duke University
16,Pau Gasol\gasolpa01,PF,7-0,250,July 6 1980,es,13,
22,Taj Gibson\gibsota01,PF,6-9,232,June 24 1985,us,5,University of Southern California
12,Kirk Hinrich\hinriki01,SG,6-4,190,January 2 1981,us,11,University of Kansas
3,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,R,Creighton University
44,Nikola Mirotic\mirotni01,PF,6-10,250,February 11 1991,me,R,
48,Nazr Mohammed\mohamna01,C,6-10,221,September 5 1977,us,16,University of Kentucky
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 25 1989,us,3,Purdue University
13,Joakim Noah\noahjo01,C,6-11,230,February 25 1985,us,7,University of Florida
1,Derrick Rose\rosede01,PG,6-3,200,October 4 1988,us,5,University of Memphis
20,Tony Snell\snellto01,SF,6-7,213,November 10 1991,us,1,University of New Mexico
