No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
28,Tarik Black\blackta01,C,6-9,250,November 22 1991,us,2,University of Memphis University of Kansas
3,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,9,University of Florida
5,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,11,
6,Jordan Clarkson\clarkjo01,SG,6-5,194,June 7 1992,us,2,University of Tulsa University of Missouri
9,Luol Deng\denglu01,SF,6-9,237,April 16 1985,ss,12,Duke University
11,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,2,Syracuse University
4,Marcelo Huertas\huertma01,PG,6-3,200,May 25 1983,br,1,
14,Brandon Ingram\ingrabr01,SF,6-9,190,September 2 1997,us,R,Duke University
20,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,6,
7,Larry Nance\nancela02,PF,6-9,230,January 1 1993,us,1,University of Wyoming
10,David Nwaba\nwabada01,SG,6-4,219,January 14 1993,us,R,California Polytechnic State University San Luis Obispo
30,Julius Randle\randlju01,PF,6-9,250,November 29 1994,us,2,University of Kentucky
15,Thomas Robinson\robinth01,PF,6-10,237,March 17 1991,us,4,University of Kansas
1,D'Angelo Russell\russeda01,PG,6-5,198,February 23 1996,us,1,Ohio State University
23,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,11,
37,Metta World Peace\artesro01,SF,6-6,260,November 13 1979,us,16,St. John's University
0,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,9,University of Southern California
40,Ivica Zubac\zubaciv01,C,7-1,240,March 18 1997,ba,R,
