No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,8,University of Texas at Austin
11,Bismack Biyombo\biyombi01,C,6-9,255,August 28 1992,cd,5,
21,Anthony Brown\brownan02,SF,6-7,210,October 10 1992,us,1,Stanford University
10,Evan Fournier\fournev01,SG,6-7,205,October 29 1992,fr,4,
29,Patricio Garino\garinpa01,SG,6-6,210,May 17 1993,ar,R,George Washington University
13,Marcus Georges-Hunt\georgma01,SG,6-5,216,March 28 1994,us,R,Georgia Institute of Technology
00,Aaron Gordon\gordoaa01,SF,6-9,220,September 16 1995,us,2,University of Arizona
34,Jeff Green\greenje02,PF,6-9,235,August 28 1986,us,8,Georgetown University
8,Mario Hezonja\hezonma01,SF,6-8,225,February 25 1995,hr,1,
7,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,7,
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,7,University of Kentucky
21,Arinze Onuaku\onuakar01,C,6-9,255,July 13 1987,us,2,Syracuse University
4,Elfrid Payton\paytoel01,PG,6-4,185,February 22 1994,us,2,University of Louisiana at Lafayette
31,Terrence Ross\rosste01,SF,6-7,206,February 5 1991,us,4,University of Washington
3,Damjan Rudez\rudezda01,SF,6-10,228,June 17 1986,hr,2,
9,Nikola Vucevic\vucevni01,C,7-0,260,October 24 1990,ch,5,University of Southern California
32,C.J. Watson\watsocj01,PG,6-2,175,April 17 1984,us,9,University of Tennessee
23,C.J. Wilcox\wilcocj01,SG,6-5,195,December 30 1990,us,2,University of Washington
33,Stephen Zimmerman\zimmest01,C,7-0,240,September 9 1996,us,R,University of Nevada Las Vegas
