No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Matt Barnes\barnema02,SF,6-7,226,March 9 1980,us,10,University of California Los Angeles
25,Reggie Bullock\bullore01,SF,6-7,205,March 16 1991,us,R,University of North Carolina
2,Darren Collison\collida01,PG,6-0,175,August 23 1987,us,4,University of California Los Angeles
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,13,University of Michigan
0,Glen Davis\davisgl01,PF,6-9,289,January 1 1986,us,6,Louisiana State University
9,Jared Dudley\dudleja01,SF,6-7,237,July 10 1985,us,6,Boston College
33,Danny Granger\grangda01,SF,6-9,222,April 20 1983,us,8,Bradley University University of New Mexico
34,Willie Green\greenwi01,SG,6-4,200,July 28 1981,us,10,University of Detroit Mercy
32,Blake Griffin\griffbl01,PF,6-10,250,March 16 1989,us,3,University of Oklahoma
15,Ryan Hollins\holliry01,PF,7-0,240,October 10 1984,us,7,University of California Los Angeles
1,Stephen Jackson\jacksst02,SF,6-8,218,April 5 1978,us,13,Butler County Community College
33,Antawn Jamison\jamisan01,PF,6-8,223,June 12 1976,us,15,University of North Carolina
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,5,Texas A&M University
7,Darius Morris\morrida01,PG,6-4,190,January 3 1991,us,2,University of Michigan
0,Byron Mullens\mulleby01,C,7-0,275,February 14 1989,us,4,Ohio State University
3,Chris Paul\paulch01,PG,6-0,175,May 6 1985,us,8,Wake Forest University
4,J.J. Redick\redicjj01,SG,6-4,200,June 24 1984,us,7,Duke University
8,Hedo Turkoglu\turkohe01,SF,6-10,220,March 19 1979,tr,13,
18,Sasha Vujacic\vujacsa01,SG,6-7,195,March 8 1984,si,7,
5,Maalik Wayns\waynsma01,PG,6-2,200,May 2 1991,us,1,Villanova University
