No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Nicolas Batum\batumni01,SG,6-8,200,December 14 1988,fr,8,
21,Marco Belinelli\belinma01,SG,6-5,210,March 25 1986,it,9,
12,Treveon Graham\grahatr01,SG,6-5,225,October 28 1993,us,R,Virginia Commonwealth University
9,Aaron Harrison\harriaa01,SG,6-6,210,October 28 1994,us,1,University of Kentucky
00,Spencer Hawes\hawessp01,PF,7-1,245,April 28 1988,us,9,University of Washington
55,Roy Hibbert\hibbero01,C,7-2,270,December 11 1986,us,8,Georgetown University
44,Frank Kaminsky\kaminfr01,C,7-0,242,April 4 1993,us,1,University of Wisconsin
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6-7,232,September 26 1993,us,4,University of Kentucky
3,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,4,University of Connecticut
8,Johnny O'Bryant\obryajo01,PF,6-9,257,June 1 1993,us,2,Louisiana State University
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,4,Duke University
22,Brian Roberts\roberbr01,PG,6-1,173,December 3 1985,us,4,University of Dayton
7,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,9,University of Nevada Reno
10,Mike Tobey\tobeymi01,C,7-0,260,October 10 1994,us,R,University of Virginia
15,Kemba Walker\walkeke02,PG,6-1,184,May 8 1990,us,5,University of Connecticut
0,Briante Weber\weberbr01,PG,6-2,165,December 29 1992,us,1,Virginia Commonwealth University
2,Marvin Williams\willima02,PF,6-9,237,June 19 1986,us,11,University of North Carolina
35,Christian Wood\woodch01,PF,6-10,214,September 27 1995,us,1,University of Nevada Las Vegas
40,Cody Zeller\zelleco01,C,7-0,240,October 5 1992,us,3,Indiana University
