No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Jeff Ayres\pendeje02,PF,6-9,240,April 29 1987,us,3,Arizona State University
16,Aron Baynes\baynear01,C,6-10,260,December 9 1986,nz,1,Washington State University
3,Marco Belinelli\belinma01,SF,6-5,210,March 25 1986,it,6,
15,Matt Bonner\bonnema01,PF,6-10,235,April 5 1980,us,9,University of Florida
1,Shannon Brown\brownsh01,SG,6-4,205,November 29 1985,us,7,Michigan State University
23,Austin Daye\dayeau01,SF,6-11,220,June 5 1988,us,4,Gonzaga University
25,Nando De Colo\decolna01,SF,6-5,200,June 23 1987,fr,1,
33,Boris Diaw\diawbo01,PF,6-8,250,April 16 1982,fr,10,
21,Tim Duncan\duncati01,C,6-11,250,April 25 1976,vi,16,Wake Forest University
20,Manu Ginobili\ginobma01,SG,6-6,205,July 28 1977,ar,11,
4,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,4,University of North Carolina
7,Damion James\jamesda01,SF,6-7,225,October 7 1987,us,3,University of Texas at Austin
7,Othyus Jeffers\jeffeot01,SG,6-5,200,August 5 1985,us,2,University of Illinois at Chicago Robert Morris University (IL)
5,Cory Joseph\josepco01,SG,6-3,193,August 20 1991,ca,2,University of Texas at Austin
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,2,San Diego State University
8,Patty Mills\millspa02,PG,6-0,180,August 11 1988,au,4,Saint Mary's College of California
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,12,
22,Tiago Splitter\splitti01,C,6-11,245,January 1 1985,br,3,
24,Malcolm Thomas\thomama01,PF,6-9,225,November 8 1988,us,2,Pepperdine University San Diego State University
