No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
50,Lavoy Allen\allenla01,PF,6-9,260,February 4 1989,us,2,Temple University
9,James Anderson\anderja01,SG,6-6,213,March 25 1989,us,3,Oklahoma State University
7,Lorenzo Brown\brownlo01,PG,6-5,189,August 26 1990,us,R,North Carolina State University
1,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,R,Syracuse University
20,Brandon Davies\daviebr01,PF,6-10,240,July 25 1991,us,R,Brigham Young University
30,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,R,University of Southern California
00,Spencer Hawes\hawessp01,C,7-1,245,April 28 1988,us,6,University of Washington
0,Darius Johnson-Odom\johnsda03,SG,6-2,215,September 28 1989,us,1,Marquette University
11,Eric Maynor\maynoer01,PG,6-3,175,June 11 1987,us,4,Virginia Commonwealth University
7,Darius Morris\morrida01,PG,6-4,190,January 3 1991,us,2,University of Michigan
5,Arnett Moultrie\moultar01,PF,6-11,249,November 18 1990,us,1,University of Texas at El Paso Mississippi State University
30,Byron Mullens\mulleby01,C,7-0,275,February 14 1989,us,4,Ohio State University
12,James Nunnally\nunnaja01,SF,6-7,208,July 14 1990,us,R,University of California Santa Barbara
33,Daniel Orton\ortonda01,C,6-10,255,August 6 1990,us,2,University of Kentucky
35,Henry Sims\simshe01,C,6-10,248,March 27 1990,us,1,Georgetown University
7,Adonis Thomas\thomaad01,SF,6-7,200,March 25 1993,us,R,University of Memphis
31,Hollis Thompson\thompho01,SF,6-8,206,April 3 1991,us,R,Georgetown University
12,Evan Turner\turneev01,SF,6-7,220,October 27 1988,us,3,Ohio State University
40,Jarvis Varnado\varnaja01,PF,6-9,230,March 1 1988,us,1,Mississippi State University
17,Casper Ware\wareca01,PG,5-10,175,January 17 1990,us,R,California State University Long Beach
25,Elliot Williams\williel01,SG,6-5,190,June 20 1989,us,1,Duke University University of Memphis
8,Tony Wroten\wroteto01,PG,6-6,205,April 13 1993,us,1,University of Washington
21,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,6,Georgia Institute of Technology
