No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,LaMarcus Aldridge\aldrila01,PF,6-11,260,July 19 1985,us,9,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6-9,230,September 20 1993,us,1,University of California Los Angeles
15,Matt Bonner\bonnema01,C,6-10,235,April 5 1980,us,11,University of Florida
18,Rasual Butler\butlera01,SF,6-7,215,May 23 1979,us,12,La Salle University
33,Boris Diaw\diawbo01,PF,6-8,250,April 16 1982,fr,12,
21,Tim Duncan\duncati01,C,6-11,250,April 25 1976,vi,18,Wake Forest University
20,Manu Ginobili\ginobma01,SG,6-6,205,July 28 1977,ar,13,
14,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,6,University of North Carolina
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,4,San Diego State University
40,Boban Marjanovic\marjabo01,C,7-3,290,August 15 1988,rs,R,
23,Kevin Martin\martike02,SG,6-7,199,February 1 1983,us,11,Western Carolina University
3,Ray McCallum\mccalra01,PG,6-3,190,June 12 1991,us,2,University of Detroit Mercy
24,Andre Miller\millean02,PG,6-3,200,March 19 1976,us,16,University of Utah
8,Patty Mills\millspa02,PG,6-0,180,August 11 1988,au,6,Saint Mary's College of California
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,14,
17,Jonathon Simmons\simmojo02,SG,6-6,195,September 14 1989,us,R,University of Houston
30,David West\westda01,PF,6-9,250,August 29 1980,us,12,Xavier University
