No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Alex Abrines\abrinal01,SG,6-6,200,August 1 1993,es,1,
12,Steven Adams\adamsst01,C,7-0,265,July 20 1993,nz,4,University of Pittsburgh
7,Carmelo Anthony\anthoca01,PF,6-8,240,May 29 1984,us,14,Syracuse University
3,Corey Brewer\breweco01,SG,6-9,186,March 5 1986,us,10,University of Florida
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,13,University of Kansas
35,PJ Dozier\doziepj01,PG,6-6,205,October 25 1996,us,R,University of South Carolina
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,12,University of North Carolina
23,Terrance Ferguson\fergute01,SG,6-7,190,May 17 1998,us,R,
13,Paul George\georgpa01,SF,6-9,220,May 2 1990,us,7,California State University Fresno
9,Jerami Grant\grantje01,PF,6-9,220,March 12 1994,us,3,Syracuse University
25,Daniel Hamilton\hamilda02,SG,6-7,195,August 8 1995,us,R,University of Connecticut
34,Josh Huestis\huestjo01,PF,6-7,230,December 19 1991,us,2,Stanford University
44,Dakari Johnson\johnsda04,C,7-0,255,September 22 1995,us,R,University of Kentucky
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,7,University of Kentucky
21,Andre Roberson\roberan03,SG,6-7,210,December 4 1991,us,4,University of Colorado
15,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,5,Duke University
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,9,University of California Los Angeles
