No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
19,Furkan Aldemir\aldemfu01,PF,6-10,240,August 9 1991,tr,R,
0,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,1,Murray State University
1,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,1,Syracuse University
33,Robert Covington\covinro01,SF,6-9,225,December 14 1990,us,1,Tennessee State University
0,Brandon Davies\daviebr01,PF,6-10,240,July 25 1991,us,1,Brigham Young University
7,Larry Drew\drewla02,PG,6-2,180,March 5 1990,us,R,University of North Carolina University of California Los Angeles
20,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,R,Pennsylvania State University
30,Drew Gordon\gordodr01,PF,6-9,245,July 12 1990,us,R,University of California Los Angeles University of New Mexico
39,Jerami Grant\grantje01,SF,6-9,220,March 12 1994,us,R,Syracuse University
16,Chris Johnson\johnsch04,SF,6-6,206,April 29 1990,us,2,University of Dayton
11,Malcolm Lee\leema01,SG,6-5,200,May 22 1990,us,2,University of California Los Angeles
12,Luc Mbah a Moute\mbahalu01,PF,6-8,230,September 9 1986,cm,6,University of California Los Angeles
14,K.J. McDaniels\mcdankj01,SG,6-6,205,February 9 1993,us,R,Clemson University
1,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,6,University of Nevada Reno
4,Nerlens Noel\noelne01,C,6-11,220,April 10 1994,us,R,University of Kentucky
23,Jason Richardson\richaja01,SG,6-6,220,January 20 1981,us,12,Michigan State University
1,Glenn Robinson\robingl02,SF,6-6,222,January 8 1994,us,R,University of Michigan
41,Thomas Robinson\robinth01,PF,6-10,237,March 17 1991,us,2,University of Kansas
9,JaKarr Sampson\sampsja02,SF,6-9,214,March 20 1993,us,R,St. John's University
88,Alexey Shved\shvedal01,SG,6-6,190,December 16 1988,ru,2,
35,Henry Sims\simshe01,C,6-10,248,March 27 1990,us,2,Georgetown University
5,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,4,Wake Forest University
11,Malcolm Thomas\thomama01,PF,6-9,225,November 8 1988,us,3,Pepperdine University San Diego State University
31,Hollis Thompson\thompho01,SG,6-8,206,April 3 1991,us,1,Georgetown University
8,Tony Wroten\wroteto01,PG,6-6,205,April 13 1993,us,2,University of Washington
