No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Ryan Arcidiacono\arcidry01,PG,6-3,200,March 26 1994,us,R,Villanova University
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,7,
9,Antonio Blakeney\blakean01,SG,6-4,192,October 4 1996,us,R,Louisiana State University
32,Kris Dunn\dunnkr01,PG,6-4,205,March 18 1994,us,1,Providence College
31,Jarell Eddie\eddieja01,SF,6-7,218,October 30 1991,us,2,Virginia Polytechnic Institute and State University
3,Kay Felder\feldeka01,PG,5-9,176,March 29 1995,us,1,Oakland University
6,Cristiano Felicio\feliccr01,C,6-10,265,July 7 1992,br,2,
2,Jerian Grant\grantje02,PG,6-4,205,October 9 1992,us,2,University of Notre Dame
7,Justin Holiday\holidju01,SG,6-6,181,April 5 1989,us,4,University of Washington
0,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,3,University of Cincinnati
8,Zach LaVine\lavinza01,SG,6-5,200,March 10 1995,us,3,University of California Los Angeles
42,Robin Lopez\lopezro01,C,7-0,275,April 1 1988,us,9,Stanford University
24,Lauri Markkanen\markkla01,PF,7-0,240,May 22 1997,fi,R,University of Arizona
44,Nikola Mirotic\mirotni01,PF,6-10,250,February 11 1991,me,3,
11,David Nwaba\nwabada01,SG,6-4,219,January 14 1993,us,1,California Polytechnic State University San Luis Obispo
22,Cameron Payne\payneca01,PG,6-3,190,August 8 1994,us,2,Murray State University
20,Quincy Pondexter\pondequ01,SF,6-7,230,March 10 1988,us,5,University of Washington
5,Bobby Portis\portibo01,PF,6-11,250,February 10 1995,us,2,University of Arkansas
45,Denzel Valentine\valende01,SG,6-6,210,November 16 1993,us,1,Michigan State University
30,Noah Vonleh\vonleno01,PF,6-9,250,August 24 1995,us,3,Indiana University
16,Paul Zipser\zipsepa01,SF,6-8,215,February 18 1994,de,1,
