No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Steven Adams\adamsst01,C,7-0,265,July 20 1993,nz,2,University of Pittsburgh
14,D.J. Augustin\augusdj01,PG,6-0,183,November 10 1987,us,7,University of Texas at Austin
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,11,University of Kansas
35,Kevin Durant\duranke01,SF,6-9,240,September 29 1988,us,8,University of Texas at Austin
6,Randy Foye\foyera01,SG,6-4,213,September 24 1983,us,9,Villanova University
34,Josh Huestis\huestjo01,PF,6-7,230,December 19 1991,us,R,Stanford University
9,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,6,
11,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,4,
33,Mitch McGary\mcgarmi01,PF,6-10,255,June 6 1992,us,1,University of Michigan
13,Nazr Mohammed\mohamna01,C,6-10,221,September 5 1977,us,17,University of Kentucky
2,Anthony Morrow\morroan01,SG,6-5,210,September 27 1985,us,7,Georgia Institute of Technology
6,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,9,Marquette University
22,Cameron Payne\payneca01,PG,6-3,190,August 8 1994,us,R,Murray State University
21,Andre Roberson\roberan03,SG,6-7,210,December 4 1991,us,2,University of Colorado
5,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,3,Duke University
3,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,3,Syracuse University
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,7,University of California Los Angeles
