No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo\antetgi01,PG,6-11,242,December 6 1994,gr,2,
19,Jerryd Bayless\bayleje01,SG,6-3,200,August 20 1988,us,7,University of Arizona
5,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,2,Syracuse University
9,Chris Copeland\copelch01,PF,6-9,239,March 17 1984,us,3,University of Colorado
9,Jared Cunningham\cunnija01,SG,6-4,195,May 22 1991,us,3,Oregon State University
11,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,1,Syracuse University
31,John Henson\hensojo01,C,6-11,219,December 28 1990,us,3,University of North Carolina
17,Damien Inglis\inglida01,SF,6-8,246,May 20 1995,gf,R,
3,O.J. Mayo\mayooj01,SG,6-5,210,November 5 1987,us,7,University of Southern California
22,Khris Middleton\middlkh01,SG,6-8,222,August 12 1991,us,3,Texas A&M University
15,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,5,Georgetown University
6,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,9,Marquette University
77,Johnny O'Bryant\obryajo01,PF,6-9,257,June 1 1993,us,1,Louisiana State University
12,Jabari Parker\parkeja01,PF,6-8,245,March 15 1995,us,1,Duke University
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,3,Duke University
21,Greivis Vasquez\vasqugr01,PG,6-6,217,January 16 1987,ve,5,University of Maryland
20,Rashad Vaughn\vaughra01,SG,6-6,202,August 16 1996,us,R,University of Nevada Las Vegas
