No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
28,Tarik Black\blackta01,C,6-9,250,November 22 1991,us,R,University of Memphis University of Kansas
12,Vander Blue\blueva01,SG,6-4,200,July 17 1992,us,1,Marquette University
5,Carlos Boozer\boozeca01,PF,6-9,258,November 20 1981,de,12,Duke University
15,Jabari Brown\brownja01,SG,6-4,215,December 18 1992,us,R,University of Oregon University of Missouri
24,Kobe Bryant\bryanko01,SG,6-6,212,August 23 1978,us,18,
20,Dwight Buycks\buyckdw01,PG,6-3,190,March 6 1989,us,1,Marquette University
6,Jordan Clarkson\clarkjo01,PG,6-5,194,June 7 1992,us,R,University of Tulsa University of Missouri
21,Ed Davis\davised01,PF,6-10,225,June 5 1989,us,4,University of North Carolina
2,Wayne Ellington\ellinwa01,SG,6-5,200,November 29 1987,us,5,University of North Carolina
7,Xavier Henry\henryxa01,SF,6-6,220,March 15 1991,be,4,University of Kansas
27,Jordan Hill\hilljo01,C,6-10,235,July 27 1987,us,5,University of Arizona
11,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,4,Iowa State University Syracuse University
4,Ryan Kelly\kellyry01,PF,6-11,230,April 9 1991,us,1,Duke University
17,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,4,Harvard University
9,Ronnie Price\pricero01,PG,6-2,190,June 21 1983,us,9,Nicholls State University Utah Valley State College
30,Julius Randle\randlju01,PF,6-9,250,November 29 1994,us,R,University of Kentucky
50,Robert Sacre\sacrero01,C,7-0,270,June 6 1989,us,2,Gonzaga University
0,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,7,University of Southern California
