No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Jordan Adams\adamsjo01,SG,6-5,209,July 8 1994,us,R,University of California Los Angeles
9,Tony Allen\allento01,SG,6-4,213,January 11 1982,us,10,Butler County Community College Oklahoma State University
12,Nick Calathes\calatni01,SG,6-6,213,February 7 1989,us,1,University of Florida
15,Vince Carter\cartevi01,SG,6-6,220,January 26 1977,us,16,University of North Carolina
11,Mike Conley\conlemi01,PG,6-1,175,October 11 1987,us,7,Ohio State University
33,Marc Gasol\gasolma01,C,7-1,255,January 29 1985,es,6,
0,JaMychal Green\greenja01,PF,6-9,227,June 21 1990,us,R,University of Alabama
32,Jeff Green\greenje02,SF,6-9,235,August 28 1986,us,6,Georgetown University
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,6,Ohio State University
5,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,6,Western Kentucky University
30,Jon Leuer\leuerjo01,PF,6-10,228,May 14 1989,us,3,University of Wisconsin
27,Kalin Lucas\lucaska01,PG,6-1,195,May 24 1989,us,R,Michigan State University
8,Quincy Pondexter\pondequ01,SG,6-7,230,March 10 1988,us,4,University of Washington
21,Tayshaun Prince\princta01,SF,6-9,212,February 28 1980,us,12,University of Kentucky
50,Zach Randolph\randoza01,PF,6-9,250,July 16 1981,us,13,Michigan State University
2,Russ Smith\smithru01,PG,6-0,165,April 19 1991,us,R,University of Louisville
1,Jarnell Stokes\stokeja01,PF,6-9,263,January 7 1994,us,R,University of Tennessee
13,Tyrus Thomas\thomaty01,PF,6-9,215,August 17 1986,us,7,Louisiana State University
19,Beno Udrih\udrihbe01,PG,6-3,205,July 5 1982,si,10,
