No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Arron Afflalo\afflaar01,SG,6-5,210,October 15 1985,us,6,University of California Los Angeles
11,Glen Davis\davisgl01,PF,6-9,289,January 1 1986,us,6,Louisiana State University
3,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,R,University of Southern California
21,Maurice Harkless\harklma01,SF,6-9,220,May 11 1993,us,1,St. John's University
12,Tobias Harris\harrito02,PF,6-9,235,July 15 1992,us,2,University of Tennessee
22,Solomon Jones\jonesso01,PF,6-10,230,July 16 1984,us,7,University of South Florida
1,Doron Lamb\lambdo01,SG,6-4,210,November 6 1991,us,1,University of Kentucky
54,Jason Maxiell\maxieja01,PF,6-7,260,February 18 1983,us,8,University of Cincinnati
55,E'Twaun Moore\mooreet01,SG,6-4,191,February 25 1989,us,2,Purdue University
14,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,9,Saint Joseph's University
44,Andrew Nicholson\nichoan01,PF,6-9,250,December 8 1989,ca,1,St. Bonaventure University
2,Kyle O'Quinn\oquinky01,C,6-10,250,March 26 1990,us,1,Norfolk State University
5,Victor Oladipo\oladivi01,PG,6-4,210,May 4 1992,us,R,Indiana University
10,Ronnie Price\pricero01,SG,6-2,190,June 21 1983,us,8,Nicholls State University Utah Valley State College
8,Adonis Thomas\thomaad01,SF,6-7,200,March 25 1993,us,R,University of Memphis
9,Nikola Vucevic\vucevni01,C,7-0,260,October 24 1990,ch,2,University of Southern California
