No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Chauncey Billups\billuch01,SG,6-3,202,September 25 1976,us,16,University of Colorado
12,Will Bynum\bynumwi01,PG,6-0,185,January 4 1983,us,6,University of Arizona Georgia Institute of Technology
5,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,R,University of Georgia
13,Luigi Datome\datomlu01,SF,6-8,215,November 27 1987,it,R,
0,Andre Drummond\drumman01,C,6-11,279,August 10 1993,us,1,University of Connecticut
55,Josh Harrellson\harrejo01,C,6-10,275,February 12 1989,us,2,University of Kentucky
7,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,4,
33,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,3,
9,Tony Mitchell\mitchto02,PF,6-8,235,April 7 1992,us,R,University of North Texas
10,Greg Monroe\monrogr01,PF,6-11,265,June 4 1990,us,3,Georgetown University
25,Kyle Singler\singlky01,SF,6-8,228,May 4 1988,us,1,Duke University
34,Peyton Siva\sivape01,SG,6-0,185,October 24 1990,us,R,University of Louisville
6,Josh Smith\smithjo03,SF,6-9,225,December 5 1985,us,9,
3,Rodney Stuckey\stuckro01,SG,6-5,210,April 21 1986,us,6,Eastern Washington University
31,Charlie Villanueva\villach01,PF,6-11,232,August 24 1984,us,8,University of Connecticut
