No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Tony Bradley\bradlto01,C,6-10,248,January 8 1998,us,R,University of North Carolina
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,6,University of Colorado
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,5,Marquette University
11,Dante Exum\exumda01,PG,6-6,190,July 13 1995,au,2,
15,Derrick Favors\favorde01,C,6-10,265,July 15 1991,us,7,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,4,
5,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,3,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6-8,226,October 2 1987,au,3,
8,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,7,
6,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,16,University of Arkansas
21,Erik McCree\mccreer01,SF,6-8,225,December 20 1993,us,R,Louisiana Tech University
45,Donovan Mitchell\mitchdo01,SG,6-3,215,September 7 1996,us,R,University of Louisville
30,Naz Mitrou-Long\mitrona01,SG,6-4,218,August 3 1993,ca,R,Iowa State University
25,Raul Neto\netora01,PG,6-1,179,May 19 1992,br,2,
31,Georges Niang\niangge01,PF,6-8,230,June 17 1993,us,1,Iowa State University
23,Royce O'Neale\onealro01,SF,6-6,226,June 5 1993,us,R,Baylor University
3,Ricky Rubio\rubiori01,PG,6-4,190,October 21 1990,es,6,
22,Thabo Sefolosha\sefolth01,SF,6-7,220,May 2 1984,ch,11,
5,David Stockton\stockda01,PG,5-11,165,June 24 1991,us,1,Gonzaga University
33,Ekpe Udoh\udohek01,C,6-10,245,May 20 1987,us,5,University of Michigan Baylor University
16,Nate Wolters\woltena01,PG,6-4,190,May 15 1991,us,2,South Dakota State University
