No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Al-Farouq Aminu\aminual01,SF,6-9,220,September 21 1990,us,4,Wake Forest University
5,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,8,Northeastern University
6,Tyson Chandler\chandty01,C,7-1,240,October 2 1982,us,13,
9,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,2,Marquette University
11,Monta Ellis\ellismo01,SG,6-3,185,October 26 1985,us,9,
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,9,University of North Carolina
20,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,10,University of Wisconsin
55,Bernard James\jamesbe01,C,6-10,240,February 7 1985,us,2,Florida State University
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,13,University of Arizona
1,Ricky Ledo\ledori01,SG,6-7,195,September 10 1992,us,1,
14,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,10,Saint Joseph's University
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,16,
25,Chandler Parsons\parsoch01,SF,6-10,230,October 25 1988,us,3,University of Florida
8,Dwight Powell\poweldw01,PF,6-11,240,July 20 1991,ca,R,Stanford University
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,8,University of Kentucky
4,Greg Smith\smithgr02,PF,6-10,250,January 8 1991,us,3,California State University Fresno
1,Amar'e Stoudemire\stoudam01,PF,6-10,245,November 16 1982,us,12,
3,Charlie Villanueva\villach01,PF,6-11,232,August 24 1984,us,9,University of Connecticut
34,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,6,University of North Carolina
