No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
35,Dragan Bender\bendedr01,PF,7-1,225,November 17 1997,ba,1,
2,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,7,University of Kentucky
1,Devin Booker\bookede01,SG,6-6,210,October 30 1996,us,2,University of Kentucky
2,Isaiah Canaan\canaais01,PG,6-0,201,May 21 1991,us,4,Murray State University
4,Tyson Chandler\chandty01,C,7-1,240,October 2 1982,us,16,
0,Marquese Chriss\chrisma01,PF,6-10,240,July 2 1997,us,1,University of Washington
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,4,Virginia Commonwealth University
3,Jared Dudley\dudleja01,PF,6-7,237,July 10 1985,us,10,Boston College
14,Josh Gray\grayjo01,PG,6-1,180,September 9 1993,us,R,Louisiana State University
10,Shaquille Harrison\harrish01,PG,6-4,190,October 6 1993,us,R,University of Tulsa
23,Danuel House\houseda01,SG,6-7,220,June 7 1993,us,1,Texas A&M University
20,Josh Jackson\jacksjo02,SF,6-8,200,February 10 1997,us,R,University of Kansas
55,Mike James\jamesmi02,PG,6-1,189,August 18 1990,us,R,Lamar University
10,Derrick Jones\jonesde02,SF,6-7,200,February 15 1997,us,1,University of Nevada Las Vegas
21,Alex Len\lenal01,C,7-1,250,June 16 1993,ua,4,University of Maryland
14,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,7,Georgetown University
2,Elfrid Payton\paytoel01,PG,6-4,185,February 22 1994,us,3,University of Louisiana at Lafayette
25,Alec Peters\peteral01,PF,6-9,232,April 13 1995,us,R,Valparaiso University
32,Davon Reed\reedda01,SG,6-5,208,June 11 1995,us,R,University of Miami
8,Tyler Ulis\ulisty01,PG,5-10,160,January 5 1996,us,1,University of Kentucky
12,T.J. Warren\warretj01,SF,6-8,215,September 5 1993,us,3,North Carolina State University
15,Alan Williams\willial03,PF,6-8,265,January 28 1993,us,2,University of California Santa Barbara
