No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Arron Afflalo\afflaar01,SG,6-5,210,October 15 1985,us,7,University of California Los Angeles
12,LaMarcus Aldridge\aldrila01,PF,6-11,260,July 19 1985,us,8,University of Texas at Austin
5,Will Barton\bartowi01,SG,6-6,190,January 6 1991,us,2,University of Memphis
88,Nicolas Batum\batumni01,SF,6-8,200,December 14 1988,fr,6,
5,Steve Blake\blakest01,PG,6-3,172,February 26 1980,us,11,University of Maryland
18,Victor Claver\clavevi01,SF,6-9,224,August 30 1988,es,2,
23,Allen Crabbe\crabbal01,SG,6-6,212,April 9 1992,us,1,University of California
10,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,R,Pennsylvania State University
19,Joel Freeland\freeljo01,C,6-10,250,February 7 1987,gb,2,
33,Alonzo Gee\geeal01,SF,6-6,225,May 29 1987,us,5,University of Alabama
35,Chris Kaman\kamanch01,C,7-0,265,April 28 1982,us,11,Central Michigan University
11,Meyers Leonard\leoname01,C,7-1,255,February 27 1992,us,2,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,2,Weber State University
42,Robin Lopez\lopezro01,C,7-0,275,April 1 1988,us,6,Stanford University
2,Wesley Matthews\matthwe02,SG,6-5,220,October 14 1986,us,5,Marquette University
3,CJ McCollum\mccolcj01,SG,6-3,190,September 19 1991,us,1,Lehigh University
41,Thomas Robinson\robinth01,PF,6-10,237,March 17 1991,us,2,University of Kansas
1,Dorell Wright\wrighdo01,SF,6-9,205,December 2 1985,us,10,
