No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,3,Baylor University
5,James Anderson\anderja01,SG,6-6,213,March 25 1989,us,4,Oklahoma State University
3,Marco Belinelli\belinma01,SG,6-5,210,March 25 1986,it,8,
31,Caron Butler\butleca01,SF,6-7,228,March 13 1980,us,13,University of Connecticut
18,Omri Casspi\casspom01,PF,6-9,225,June 22 1988,il,6,
00,Willie Cauley-Stein\caulewi01,C,7-0,240,August 18 1993,us,R,University of Kentucky
7,Darren Collison\collida01,PG,6-0,175,August 23 1987,us,6,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,5,University of Kentucky
30,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,2,Liberty University Duke University
26,Duje Dukan\dukandu01,SF,6-9,220,December 4 1991,hr,R,University of Wisconsin
8,Rudy Gay\gayru01,SF,6-8,230,August 17 1986,us,9,University of Connecticut
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,7,Ohio State University
23,Ben McLemore\mclembe01,SG,6-5,201,February 11 1993,us,2,University of Kansas
25,Eric Moreland\moreler01,PF,6-10,238,December 24 1991,us,1,Oregon State University
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,9,University of Kentucky
