No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Justin Anderson\anderju01,SF,6-6,230,November 19 1993,us,R,University of Virginia
5,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,9,Northeastern University
21,Jeremy Evans\evansje01,SF,6-9,200,October 24 1987,us,5,Western Kentucky University
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,10,University of North Carolina
34,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,11,University of Wisconsin
12,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,3,Vanderbilt University
42,David Lee\leeda02,PF,6-9,245,April 29 1983,us,10,University of Florida
23,Wesley Matthews\matthwe02,SF,6-5,220,October 14 1986,us,6,Marquette University
11,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,7,University of Nevada Reno
50,Salah Mejri\mejrisa01,C,7-2,235,June 15 1986,tn,R,
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,17,
27,Zaza Pachulia\pachuza01,C,6-11,270,February 10 1984,ge,12,
25,Chandler Parsons\parsoch01,SF,6-10,230,October 25 1988,us,4,University of Florida
7,Dwight Powell\poweldw01,PF,6-11,240,July 20 1991,ca,1,Stanford University
3,Charlie Villanueva\villach01,PF,6-11,232,August 24 1984,us,10,University of Connecticut
8,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,10,University of Illinois at Urbana-Champaign
