No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
30,Earl Barron\barroea01,C,7-0,250,August 14 1981,us,7,University of Memphis
2,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,4,University of Kentucky
25,Reggie Bullock\bullore01,SF,6-7,205,March 16 1991,us,1,University of North Carolina
10,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,1,Liberty University Duke University
1,Goran Dragic\dragigo01,SG,6-3,190,May 6 1986,si,6,
10,Zoran Dragic\dragizo01,SG,6-5,200,June 22 1989,si,R,
4,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,R,Syracuse University
20,Archie Goodwin\goodwar01,SG,6-5,200,August 17 1994,us,1,University of Kentucky
14,Gerald Green\greenge01,SG,6-7,205,January 26 1986,us,7,
3,Brandon Knight\knighbr03,SG,6-3,195,December 2 1991,us,3,University of Kentucky
21,Alex Len\lenal01,C,7-1,250,June 16 1993,ua,1,University of Maryland
8,Jerel McNeal\mcneaje01,PG,6-3,200,June 1 1987,us,R,Marquette University
15,Marcus Morris\morrima03,PF,6-9,235,September 2 1989,us,3,University of Kansas
11,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,3,University of Kansas
22,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,2,Duke University
1,A.J. Price\priceaj01,PG,6-2,181,October 7 1986,us,5,University of Connecticut
43,Shavlik Randolph\randosh01,PF,6-10,240,November 24 1983,us,7,Duke University
3,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,3,University of Washington
23,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,5,Louisiana State University
40,Anthony Tolliver\tollian01,PF,6-8,250,June 1 1985,us,6,Creighton University
17,P.J. Tucker\tuckepj01,SF,6-6,245,May 5 1985,us,3,University of Texas at Austin
12,T.J. Warren\warretj01,SF,6-8,215,September 5 1993,us,R,North Carolina State University
32,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,6,University of North Carolina
