No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Anthony Bennett\bennean01,PF,6-8,245,March 14 1993,ca,R,University of Nevada Las Vegas
21,Andrew Bynum\bynuman01,C,7-0,285,October 27 1987,us,7,
6,Earl Clark\clarkea01,PF,6-10,225,January 17 1988,us,4,University of Louisville
31,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,R,Liberty University Duke University
8-9,Matthew Dellavedova\dellama01,SG,6-4,200,September 8 1990,au,R,Saint Mary's College of California
9,Luol Deng\denglu01,SF,6-9,237,April 16 1985,ss,9,Duke University
24,Shane Edwards\edwarsh01,SF,6-7,220,May 31 1987,us,R,University of Arkansas at Little Rock
30,Carrick Felix\felixca01,SG,6-6,201,August 17 1990,us,R,Arizona State University
33,Alonzo Gee\geeal01,SF,6-6,225,May 29 1987,us,4,University of Alabama
32,Spencer Hawes\hawessp01,C,7-1,245,April 28 1988,us,6,University of Washington
24,Scotty Hopson\hopsosc01,SG,6-7,204,August 8 1989,us,R,University of Tennessee
2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,2,Duke University
1,Jarrett Jack\jackja01,PG,6-3,200,October 28 1983,us,8,Georgia Institute of Technology
10,Sergey Karasev\karasse01,SF,6-7,208,October 26 1993,ru,R,
0,C.J. Miles\milescj01,SG,6-6,220,March 18 1987,us,8,
50,Arinze Onuaku\onuakar01,PF,6-9,255,July 13 1987,us,R,Syracuse University
14,Henry Sims\simshe01,C,6-10,248,March 27 1990,us,1,Georgetown University
13,Tristan Thompson\thomptr01,PF,6-10,238,March 13 1991,ca,2,University of Texas at Austin
17,Anderson Varejao\varejan01,C,6-10,273,September 28 1982,br,9,
3,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,1,Syracuse University
40,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,1,University of North Carolina
