No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,2,Baylor University
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,4,University of Kansas
21,Lou Amundson\amundlo01,PF,6-9,220,December 7 1982,us,8,University of Nevada Las Vegas
7,Carmelo Anthony\anthoca01,SF,6-8,240,May 29 1984,us,11,Syracuse University
77,Andrea Bargnani\bargnan01,C,7-0,245,October 26 1985,it,8,
3,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,9,
11,Samuel Dalembert\dalemsa01,C,6-11,255,May 10 1981,ht,12,Seton Hall University
17,Cleanthony Early\earlycl01,SF,6-8,210,April 17 1991,us,R,Wichita State University
2,Langston Galloway\gallola01,PG,6-2,200,December 9 1991,us,R,Saint Joseph's University
5,Tim Hardaway\hardati02,SG,6-6,205,March 16 1992,us,1,University of Michigan
0,Shane Larkin\larkish01,PG,5-11,175,October 2 1992,us,1,University of Miami
11,Ricky Ledo\ledori01,SG,6-7,195,September 10 1992,us,1,
9,Pablo Prigioni\prigipa01,PG,6-3,185,May 17 1977,ar,2,
21,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,3,Georgia Institute of Technology
1,Alexey Shved\shvedal01,SG,6-6,190,December 16 1988,ru,2,
8,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,10,
14,Jason Smith\smithja02,C,7-0,240,March 2 1986,us,6,Colorado State University
1,Amar'e Stoudemire\stoudam01,PF,6-10,245,November 16 1982,us,12,
42,Lance Thomas\thomala01,PF,6-8,240,April 24 1988,us,3,Duke University
6,Travis Wear\weartr01,SF,6-10,230,September 21 1990,us,R,University of North Carolina University of California Los Angeles
