No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Cliff Alexander\alexacl01,PF,6-8,245,November 16 1995,us,R,University of Kansas
8,Al-Farouq Aminu\aminual01,SF,6-9,220,September 21 1990,us,5,Wake Forest University
5,Pat Connaughton\connapa01,SG,6-4,209,January 6 1993,us,R,University of Notre Dame
23,Allen Crabbe\crabbal01,SG,6-6,212,April 9 1992,us,2,University of California
17,Ed Davis\davised01,PF,6-10,225,June 5 1989,us,5,University of North Carolina
10,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,1,Pennsylvania State University
4,Maurice Harkless\harklma01,SF,6-9,220,May 11 1993,us,3,St. John's University
9,Gerald Henderson\hendege02,SG,6-5,215,December 9 1987,us,6,Duke University
35,Chris Kaman\kamanch01,C,7-0,265,April 28 1982,us,12,Central Michigan University
11,Meyers Leonard\leoname01,PF,7-1,255,February 27 1992,us,3,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,3,Weber State University
3,CJ McCollum\mccolcj01,SG,6-3,190,September 19 1991,us,2,Lehigh University
44,Luis Montero\montelu01,SG,6-7,185,April 6 1993,do,R,Westchester CC
24,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,2,Duke University
2,Brian Roberts\roberbr01,PG,6-1,173,December 3 1985,us,3,University of Dayton
21,Noah Vonleh\vonleno01,PF,6-9,250,August 24 1995,us,1,Indiana University
