No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
40,Arron Afflalo\afflaar01,SG,6-5,210,October 15 1985,us,9,University of California Los Angeles
22,Matt Barnes\barnema02,SF,6-7,226,March 9 1980,us,13,University of California Los Angeles
18,Omri Casspi\casspom01,PF,6-9,225,June 22 1988,il,7,
00,Willie Cauley-Stein\caulewi01,C,7-0,240,August 18 1993,us,1,University of Kentucky
7,Darren Collison\collida01,PG,6-0,175,August 23 1987,us,7,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,6,University of Kentucky
32,Tyreke Evans\evansty01,SF,6-6,220,September 19 1989,us,7,University of Memphis
20,Jordan Farmar\farmajo01,PG,6-2,180,November 30 1986,us,9,University of California Los Angeles
9,Langston Galloway\gallola01,PG,6-2,200,December 9 1991,us,2,Saint Joseph's University
8,Rudy Gay\gayru01,SF,6-8,230,August 17 1986,us,10,University of Connecticut
24,Buddy Hield\hieldbu01,SG,6-4,214,December 17 1992,bs,R,University of Oklahoma
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,8,Ohio State University
3,Skal Labissiere\labissk01,PF,6-11,235,March 18 1996,ht,R,University of Kentucky
10,Ty Lawson\lawsoty01,PG,5-11,195,November 3 1987,us,7,University of North Carolina
23,Ben McLemore\mclembe01,SG,6-5,201,February 11 1993,us,3,University of Kansas
13,Georgios Papagiannis\papagge01,C,7-1,240,July 3 1997,gr,R,
5,Malachi Richardson\richama01,SG,6-6,205,January 5 1996,us,R,Syracuse University
17,Garrett Temple\templga01,SG,6-6,195,May 8 1986,us,6,Louisiana State University
43,Anthony Tolliver\tollian01,PF,6-8,250,June 1 1985,us,8,Creighton University
