No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
42,Alexis Ajinca\ajincal01,C,7-2,248,May 6 1988,fr,4,
33,Ryan Anderson\anderry01,PF,6-10,240,May 6 1988,us,6,University of California
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,4,
8,Luke Babbitt\babbilu01,SF,6-9,225,June 20 1989,us,4,University of Nevada Reno
30,Norris Cole\coleno01,PG,6-2,175,October 13 1988,us,3,Cleveland State University
0,Dante Cunningham\cunnida01,PF,6-8,230,April 22 1987,us,5,Villanova University
23,Anthony Davis\davisan02,PF,6-10,253,March 11 1993,us,2,University of Kentucky
16,Toney Douglas\douglto01,SG,6-2,195,March 16 1986,us,5,Auburn University Florida State University
1,Tyreke Evans\evansty01,SG,6-6,220,September 19 1989,us,5,University of Memphis
32,Jimmer Fredette\fredeji01,PG,6-2,195,February 25 1989,us,3,Brigham Young University
10,Eric Gordon\gordoer01,SG,6-4,215,December 25 1988,us,6,Indiana University
11,Jrue Holiday\holidjr01,PG,6-4,205,June 12 1990,us,5,University of California Los Angeles
24,Gal Mekel\mekelga01,PG,6-3,191,March 4 1988,il,1,Wichita State University
2,Darius Miller\milleda01,SF,6-8,225,March 21 1990,us,2,University of Kentucky
20,Quincy Pondexter\pondequ01,SF,6-7,230,March 10 1988,us,4,University of Washington
25,Austin Rivers\riverau01,SG,6-4,200,August 1 1992,us,2,Duke University
15,John Salmons\salmojo01,SF,6-7,210,December 12 1979,us,12,University of Miami
9,Russ Smith\smithru01,PG,6-0,165,April 19 1991,us,R,University of Louisville
2,Elliot Williams\williel01,SG,6-5,190,June 20 1989,us,2,Duke University University of Memphis
5,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,1,University of Kansas
4,Nate Wolters\woltena01,PG,6-4,190,May 15 1991,us,1,South Dakota State University
