No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
23,Justin Anderson\anderju01,SF,6-6,230,November 19 1993,us,1,University of Virginia
0,Jerryd Bayless\bayleje01,PG,6-3,200,August 20 1988,us,8,University of Arizona
33,Robert Covington\covinro01,SF,6-9,225,December 14 1990,us,3,Tennessee State University
21,Joel Embiid\embiijo01,C,7-0,250,March 16 1994,cm,R,University of Kansas
39,Jerami Grant\grantje01,PF,6-9,220,March 12 1994,us,2,Syracuse University
30,Justin Harper\harpeju01,PF,6-10,225,August 30 1989,us,2,University of Richmond
12,Gerald Henderson\hendege02,SG,6-5,215,December 9 1987,us,7,Duke University
22,Richaun Holmes\holmeri01,C,6-10,235,October 15 1993,us,1,Bowling Green State University
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,8,
36,Shawn Long\longsh01,C,6-9,255,January 29 1993,us,R,University of Louisiana at Lafayette
20,Timothe Luwawu-Cabarrot\luwawti01,SF,6-6,210,May 9 1995,fr,R,
1,T.J. McConnell\mccontj01,PG,6-2,190,March 25 1992,us,1,Duquesne University University of Arizona
4,Nerlens Noel\noelne01,C,6-11,220,April 10 1994,us,2,University of Kentucky
8,Jahlil Okafor\okafoja01,C,6-11,275,December 15 1995,us,1,Duke University
5,Alex Poythress\poythal01,PF,6-9,235,September 6 1993,us,R,University of Kentucky
5,Chasson Randle\randlch01,PG,6-2,185,February 5 1993,us,R,Stanford University
14,Sergio Rodriguez\rodrise01,PG,6-3,176,June 12 1986,es,4,
9,Dario Saric\saricda01,PF,6-10,223,April 8 1994,hr,R,
47,Tiago Splitter\splitti01,C,6-11,245,January 1 1985,br,6,
11,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,2,University of Michigan
31,Hollis Thompson\thompho01,SG,6-8,206,April 3 1991,us,3,Georgetown University
