No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
00,Darrell Arthur\arthuda01,SF,6-9,235,March 25 1988,us,4,University of Kansas
0,Aaron Brooks\brookaa01,PG,6-0,161,January 14 1985,us,5,University of Oregon
21,Wilson Chandler\chandwi01,SF,6-9,225,May 10 1987,us,6,DePaul University
35,Kenneth Faried\farieke01,PF,6-8,220,November 19 1989,us,2,Morehead State University
94,Evan Fournier\fournev01,SG,6-7,205,October 29 1992,fr,1,
4,Randy Foye\foyera01,SG,6-4,213,September 24 1983,us,7,Villanova University
1,Jordan Hamilton\hamiljo02,SF,6-7,220,October 6 1990,us,2,University of Texas at Austin
7,J.J. Hickson\hicksjj01,PF,6-9,242,September 4 1988,us,5,North Carolina State University
3,Ty Lawson\lawsoty01,PG,5-11,195,November 3 1987,us,4,University of North Carolina
34,JaVale McGee\mcgeeja01,C,7-0,270,January 19 1988,us,5,University of Nevada Reno
24,Andre Miller\millean02,SG,6-3,200,March 19 1976,us,14,University of Utah
30,Quincy Miller\millequ01,PF,6-9,210,November 18 1992,us,1,Baylor University
25,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,3,
15,Anthony Randolph\randoan01,PF,6-10,205,July 15 1989,de,5,Louisiana State University
10,Nate Robinson\robinna01,PG,5-9,180,May 31 1984,us,8,University of Washington
24,Jan Vesely\veselja01,PF,6-11,240,April 24 1990,cz,2,
