No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,11,University of California Los Angeles
8,Michael Beasley\beaslmi01,PF,6-9,235,January 9 1989,us,7,Kansas State University
2,Patrick Beverley\beverpa01,PG,6-1,185,July 12 1988,us,3,University of Arkansas
33,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,8,University of Florida
15,Clint Capela\capelca01,C,6-10,240,May 18 1994,ch,1,
7,Sam Dekker\dekkesa01,PF,6-9,230,May 6 1994,us,R,University of Wisconsin
0,Andrew Goudelock\goudean01,PG,6-3,200,December 7 1988,us,2,College of Charleston
13,James Harden\hardeja01,SG,6-5,220,August 26 1989,us,6,Arizona State University
35,Montrezl Harrell\harremo01,PF,6-8,240,January 26 1994,us,R,University of Louisville
44,Chuck Hayes\hayesch01,C,6-6,240,June 11 1983,us,10,University of Kentucky
12,Dwight Howard\howardw01,C,6-11,265,December 8 1985,us,11,
6,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,3,University of Kentucky
3,Ty Lawson\lawsoty01,PG,5-11,195,November 3 1987,us,6,University of North Carolina
32,K.J. McDaniels\mcdankj01,SF,6-6,205,February 9 1993,us,1,Clemson University
20,Donatas Motiejunas\motiedo01,PF,7-0,222,September 20 1990,lt,3,
5,Josh Smith\smithjo03,PF,6-9,225,December 5 1985,us,11,
31,Jason Terry\terryja01,SG,6-2,185,September 15 1977,us,16,University of Arizona
10,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,6,Louisiana State University
