No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Bradley Beal\bealbr01,SG,6-5,207,June 28 1993,us,2,University of Florida
45,DeJuan Blair\blairde01,PF,6-7,270,April 22 1989,us,5,University of Pittsburgh
8,Rasual Butler\butlera01,SF,6-7,215,May 23 1979,us,11,La Salle University
1,Will Bynum\bynumwi01,SG,6-0,185,January 4 1983,us,7,University of Arizona Georgia Institute of Technology
90,Drew Gooden\goodedr01,PF,6-10,250,September 24 1981,us,12,University of Kansas
4,Marcin Gortat\gortama01,C,6-11,240,February 17 1984,pl,7,
42,Nene Hilario\hilarne01,PF,6-11,250,September 13 1982,br,12,
43,Kris Humphries\humphkr01,PF,6-9,235,February 6 1985,us,10,University of Minnesota
24,Andre Miller\millean02,PG,6-3,200,March 19 1976,us,15,University of Utah
1,Toure' Murry\murryto01,SG,6-5,195,November 8 1989,us,1,Wichita State University
34,Paul Pierce\piercpa01,SF,6-7,235,October 13 1977,us,16,University of Kansas
22,Otto Porter\porteot01,SF,6-8,198,June 3 1993,us,1,Georgetown University
14,Glen Rice\ricegl02,SG,6-6,206,January 1 1991,us,1,Georgia Institute of Technology
13,Kevin Seraphin\serapke01,C,6-9,285,December 7 1989,gf,4,
7,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,7,University of Nevada Reno
17,Garrett Temple\templga01,SG,6-6,195,May 8 1986,us,4,Louisiana State University
2,John Wall\walljo01,PG,6-4,210,September 6 1990,us,4,University of Kentucky
9,Martell Webster\webstma02,SF,6-7,230,December 4 1986,us,9,
