No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Andris Biedrins\biedran01,C,6-11,240,April 2 1986,lv,9,
3,Trey Burke\burketr01,PG,6-1,175,November 12 1992,us,R,University of Michigan
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,2,University of Colorado
21,Ian Clark\clarkia01,SG,6-3,175,March 7 1991,us,R,Belmont University
40,Jeremy Evans\evansje01,SF,6-9,200,October 24 1987,us,3,Western Kentucky University
15,Derrick Favors\favorde01,PF,6-10,265,July 15 1991,us,3,Georgia Institute of Technology
8,Diante Garrett\garredi02,PG,6-4,190,November 3 1988,us,1,Iowa State University
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,R,
33,Mike Harris\harrimi01,PF,6-6,240,June 15 1983,us,3,Rice University
20,Gordon Hayward\haywago01,SF,6-8,225,March 23 1990,us,3,Butler University
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,12,University of Arizona
0,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,2,
5,John Lucas III\lucasjo02,PG,5-11,166,November 21 1982,us,5,Baylor University Oklahoma State University
25,Brandon Rush\rushbr01,SG,6-6,220,July 7 1985,us,5,University of Kansas
22,Malcolm Thomas\thomama01,PF,6-9,225,November 8 1988,us,2,Pepperdine University San Diego State University
6,Jamaal Tinsley\tinslja01,PG,6-3,195,February 28 1978,us,10,Iowa State University
2,Marvin Williams\willima02,PF,6-9,237,June 19 1986,us,8,University of North Carolina
