No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Bogdan Bogdanovic\bogdabo01,SG,6-6,205,August 18 1992,rs,R,
22,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,3,
15,Vince Carter\cartevi01,SF,6-6,220,January 26 1977,us,19,University of North Carolina
00,Willie Cauley-Stein\caulewi01,C,7-0,240,August 18 1993,us,2,University of Kentucky
45,Jack Cooley\cooleja01,PF,6-9,260,April 4 1991,us,1,University of Notre Dame
5,De'Aaron Fox\foxde01,PG,6-3,175,December 20 1997,us,R,University of Kentucky
40,Nigel Hayes\hayesni01,SF,6-8,254,December 16 1994,us,R,University of Wisconsin
24,Buddy Hield\hieldbu01,SG,6-4,214,December 17 1992,bs,1,University of Oklahoma
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,9,Indiana University-Purdue University Indianapolis
25,Justin Jackson\jacksju01,SF,6-8,210,March 28 1995,us,R,University of North Carolina
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,9,Ohio State University
7,Skal Labissiere\labissk01,PF,6-11,235,March 18 1996,ht,1,University of Kentucky
10,Frank Mason\masonfr01,PG,5-11,190,April 3 1994,us,R,University of Kansas
13,Georgios Papagiannis\papagge01,C,7-1,240,July 3 1997,gr,1,
50,Zach Randolph\randoza01,PF,6-9,250,July 16 1981,us,16,Michigan State University
23,Malachi Richardson\richama01,SG,6-6,205,January 5 1996,us,1,Syracuse University
29,JaKarr Sampson\sampsja02,SF,6-9,214,March 20 1993,us,2,St. John's University
17,Garrett Temple\templga01,SG,6-6,195,May 8 1986,us,7,Louisiana State University
