No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,7,Northeastern University
13,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,6,University of Florida
10,Chase Budinger\budinch01,SF,6-7,209,May 22 1988,us,4,University of Arizona
33,Dante Cunningham\cunnida01,PF,6-8,230,April 22 1987,us,4,Villanova University
5,Gorgui Dieng\dienggo01,C,6-11,252,January 18 1990,sn,R,University of Louisville
6,Robbie Hummel\hummero01,SF,6-8,215,March 8 1989,us,R,Purdue University
0,Othyus Jeffers\jeffeot01,SG,6-5,200,August 5 1985,us,2,University of Illinois at Chicago Robert Morris University (IL)
42,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,5,University of California Los Angeles
23,Kevin Martin\martike02,SG,6-7,199,February 1 1983,us,9,Western Carolina University
12,Luc Mbah a Moute\mbahalu01,PF,6-8,230,September 9 1986,cm,5,University of California Los Angeles
15,Shabazz Muhammad\muhamsh01,SG,6-6,223,November 13 1992,us,R,University of California Los Angeles
14,Nikola Pekovic\pekovni01,C,6-11,307,January 3 1986,me,3,
22,A.J. Price\priceaj01,SG,6-2,181,October 7 1986,us,4,University of Connecticut
9,Ricky Rubio\rubiori01,PG,6-4,190,October 21 1990,es,2,
1,Alexey Shved\shvedal01,SG,6-6,190,December 16 1988,ru,1,
32,Ronny Turiaf\turiaro01,C,6-10,249,January 13 1983,mq,8,Gonzaga University
7,Derrick Williams\willide02,PF,6-8,240,May 25 1991,us,2,University of Arizona
