No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Pero Antic\anticpe01,C,6-11,260,July 29 1982,mk,1,
24,Kent Bazemore\bazemke01,SG,6-5,201,July 1 1989,us,2,Old Dominion University
7,Elton Brand\brandel01,C,6-8,275,March 11 1979,us,15,Duke University
5,DeMarre Carroll\carrode01,SF,6-8,215,July 27 1986,us,5,Vanderbilt University University of Missouri
3,Austin Daye\dayeau01,SF,6-11,220,June 5 1988,us,5,Gonzaga University
15,Al Horford\horfoal01,C,6-10,245,June 3 1986,do,7,University of Florida
12,John Jenkins\jenkijo01,SG,6-4,215,March 6 1991,us,2,Vanderbilt University
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,11,Creighton University
8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,3,Butler University
4,Paul Millsap\millspa01,PF,6-8,246,February 10 1985,us,8,Louisiana Tech University
31,Mike Muscala\muscami01,PF,6-11,240,July 1 1991,us,1,Bucknell University
33,Adreian Payne\paynead01,PF,6-10,237,February 19 1991,us,R,Michigan State University
17,Dennis Schroder\schrode01,PG,6-1,172,September 15 1993,de,1,
32,Mike Scott\scottmi01,PF,6-8,237,July 16 1988,us,2,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6-7,220,May 2 1984,ch,8,
0,Jeff Teague\teaguje01,PG,6-2,195,June 10 1988,us,5,Wake Forest University
