No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,R,
10,DeMar DeRozan\derozde01,SG,6-7,220,August 7 1989,us,5,University of Southern California
2,Landry Fields\fieldla01,SF,6-7,210,June 27 1988,us,4,Stanford University
50,Tyler Hansbrough\hansbty01,PF,6-9,250,November 3 1985,us,5,University of North Carolina
44,Chuck Hayes\hayesch01,C,6-6,240,June 11 1983,us,9,University of Kentucky
15,Amir Johnson\johnsam01,PF,6-9,240,May 1 1987,us,9,
3,James Johnson\johnsja01,PF,6-8,240,February 20 1987,us,5,Wake Forest University
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,8,Villanova University
92,Lucas Nogueira\noguelu01,C,7-0,241,July 26 1992,br,R,
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,4,University of Kentucky
31,Terrence Ross\rosste01,SF,6-7,206,February 5 1991,us,2,University of Washington
34,Greg Stiemsma\stiemgr01,C,6-11,260,September 26 1985,us,3,University of Wisconsin
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,2,
21,Greivis Vasquez\vasqugr01,PG,6-6,217,January 16 1987,ve,4,University of Maryland
23,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,9,
