No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Dillon Brooks\brookdi01,SF,6-6,220,January 22 1996,ca,R,University of Oregon
8,MarShon Brooks\brookma01,SG,6-5,200,January 26 1989,us,3,Providence College
6,Mario Chalmers\chalmma01,PG,6-2,190,May 19 1986,us,8,University of Kansas
11,Mike Conley\conlemi01,PG,6-1,175,October 11 1987,us,10,Ohio State University
21,Deyonta Davis\davisde01,C,6-11,237,December 2 1996,us,1,Michigan State University
8,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,3,California State University Long Beach
12,Tyreke Evans\evansty01,PG,6-6,220,September 19 1989,us,8,University of Memphis
33,Marc Gasol\gasolma01,C,7-1,255,January 29 1985,es,9,
0,JaMychal Green\greenja01,PF,6-9,227,June 21 1990,us,3,University of Alabama
5,Andrew Harrison\harrian01,PG,6-6,213,October 28 1994,us,1,University of Kentucky
4,Myke Henry\henrymy01,SF,6-6,210,December 23 1992,us,R,DePaul University
32,Vince Hunter\huntevi01,PF,6-8,208,August 5 1994,us,R,University of Texas at El Paso
14,Brice Johnson\johnsbr02,PF,6-10,230,June 27 1994,us,1,University of North Carolina
14,Omari Johnson\johnsom01,PF,6-9,220,November 26 1989,jm,R,Oregon State University
1,Jarell Martin\martija01,PF,6-10,239,May 24 1994,us,2,Louisiana State University
23,Ben McLemore\mclembe01,SG,6-5,201,February 11 1993,us,4,University of Kansas
25,Chandler Parsons\parsoch01,SF,6-10,230,October 25 1988,us,6,University of Florida
10,Ivan Rabb\rabbiv01,PF,6-10,220,February 4 1997,us,R,University of California
22,Xavier Rathan-Mayes\rathaxa01,SG,6-4,208,April 29 1994,ca,R,Florida State University
7,Wayne Selden\seldewa01,SG,6-5,230,September 30 1994,us,1,University of Kansas
2,Kobi Simmons\simmoko01,PG,6-5,166,July 4 1997,us,R,University of Arizona
20,Marquis Teague\teaguma01,PG,6-2,189,February 28 1993,us,2,University of Kentucky
3,Briante Weber\weberbr01,PG,6-2,165,December 29 1992,us,2,Virginia Commonwealth University
34,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,9,University of North Carolina
