Rk	Pk	Tm	Player	Pos	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
44	44	PHO	Andrew Harrison\harrian01	PG	University of Kentucky	3	145	2987	1012	287	399	0.373	0.294	0.779	20.6	7	2	2.8	3.2	0.051	-2.7	-0.5
45	45	BOS	Marcus Thornton\thornma02	PG	College of William & Mary																	
46	46	MIL	Norman Powell\powelno01	SG	University of California Los Angeles	4	255	4281	1810	538	309	0.442	0.345	0.807	16.8	7.1	2.1	1.2	7.3	0.082	-1.4	0.6
47	47	PHI	Arturas Gudaitis\gudaiar01	C																		
48	48	OKC	Dakari Johnson\johnsda04	C	University of Kentucky	1	31	161	55	34	8	0.564		0.55	5.2	1.8	1.1	0.3	0.6	0.178	0.3	0.1
49	49	WAS	Aaron White\whiteaa01	PF	University of Iowa																	
50	50	ATL	Marcus Eriksson\eriksma01	SG																		
51	51	ORL	Tyler Harvey\harvety01	PG	Eastern Washington University																	
52	52	DAL	Satnam Singh\singhsa01	C																		
53	53	CLE	Sir'Dominic Pointer\pointsi01	SF	St. John's University																	
54	54	UTA	Dani Diez\diezda01	SF																		
55	55	SAS	Cady Lalanne\lalanca01	PF	University of Massachusetts Amherst																	
56	56	NOP	Branden Dawson\dawsobr01	SF	Michigan State University	1	6	29	5	4	0	0.4		1	4.8	0.8	0.7	0	0	0.069	-6.6	0
57	57	DEN	Nikola Radicevic\radicni01	PG																		
58	58	PHI	J.P. Tokoto\tokotjp01	SG	University of North Carolina																	
59	59	ATL	Dimitrios Agravanis\agravdi01	PF																		
60	60	PHI	Luka Mitrovic\mitrolu01	PF																		
