No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
19,Leandro Barbosa\barbole01,SG,6-3,194,November 28 1982,br,11,
40,Harrison Barnes\barneha02,SF,6-8,225,May 30 1992,us,2,University of North Carolina
12,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,9,University of Utah
30,Stephen Curry\curryst01,PG,6-3,190,March 14 1988,us,5,Davidson College
31,Festus Ezeli\ezelife01,C,6-11,255,October 21 1989,ng,1,Vanderbilt University
23,Draymond Green\greendr01,PF,6-7,230,March 4 1990,us,2,Michigan State University
7,Justin Holiday\holidju01,SG,6-6,181,April 5 1989,us,1,University of Washington
9,Andre Iguodala\iguodan01,SF,6-6,215,January 28 1984,us,10,University of Arizona
1,Ognjen Kuzmic\kuzmiog01,C,7-1,251,May 16 1990,ba,1,
10,David Lee\leeda02,PF,6-9,245,April 29 1983,us,9,University of Florida
34,Shaun Livingston\livinsh01,PG,6-7,192,September 11 1985,us,9,
20,James Michael McAdoo\mcadoja01,PF,6-9,230,January 4 1993,us,R,University of North Carolina
4,Brandon Rush\rushbr01,SG,6-6,220,July 7 1985,us,6,University of Kansas
5,Marreese Speights\speigma01,C,6-10,255,August 4 1987,us,6,University of Florida
11,Klay Thompson\thompkl01,SG,6-7,215,February 8 1990,us,3,Washington State University
