No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Arron Afflalo\afflaar01,SG,6-5,210,October 15 1985,us,8,University of California Los Angeles
17,Lou Amundson\amundlo01,PF,6-9,220,December 7 1982,us,9,University of Nevada Las Vegas
43,Thanasis Antetokounmpo\antetth01,SF,6-7,205,July 17 1992,gr,R,
7,Carmelo Anthony\anthoca01,SF,6-8,240,May 29 1984,us,12,Syracuse University
3,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,10,
11,Cleanthony Early\earlycl01,SF,6-8,210,April 17 1991,us,1,Wichita State University
32,Jimmer Fredette\fredeji01,SG,6-2,195,February 25 1989,us,4,Brigham Young University
2,Langston Galloway\gallola01,PG,6-2,200,December 9 1991,us,1,Saint Joseph's University
13,Jerian Grant\grantje02,PG,6-4,205,October 9 1992,us,R,University of Notre Dame
8,Robin Lopez\lopezro01,C,7-0,275,April 1 1988,us,7,Stanford University
9,Kyle O'Quinn\oquinky01,PF,6-10,250,March 26 1990,us,3,Norfolk State University
6,Kristaps Porzingis\porzikr01,PF,7-3,240,August 2 1995,lv,R,
1,Kevin Seraphin\serapke01,C,6-9,285,December 7 1989,gf,5,
42,Lance Thomas\thomala01,PF,6-8,240,April 24 1988,us,4,Duke University
18,Sasha Vujacic\vujacsa01,SG,6-7,195,March 8 1984,si,8,
23,Derrick Williams\willide02,SF,6-8,240,May 25 1991,us,4,University of Arizona
