No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,LaMarcus Aldridge\aldrila01,PF,6-11,260,July 19 1985,us,10,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6-9,230,September 20 1993,us,2,University of California Los Angeles
30,Joel Anthony\anthojo01,C,6-9,245,August 9 1982,ca,9,University of Nevada Las Vegas
42,Davis Bertans\bertada01,PF,6-10,225,November 12 1992,lv,R,
3,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,3,University of Southern California
11,Bryn Forbes\forbebr01,SG,6-3,190,July 23 1993,us,R,Michigan State University
16,Pau Gasol\gasolpa01,C,7-0,250,July 6 1980,es,15,
20,Manu Ginobili\ginobma01,SG,6-6,205,July 28 1977,ar,14,
14,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,7,University of North Carolina
27,Nicolas Laprovittola\laproni01,PG,6-4,180,January 31 1990,ar,R,
10,David Lee\leeda02,PF,6-9,245,April 29 1983,us,11,University of Florida
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,5,San Diego State University
8,Patty Mills\millspa02,PG,6-0,180,August 11 1988,au,7,Saint Mary's College of California
5,Dejounte Murray\murrade01,PG,6-5,170,September 19 1996,us,R,University of Washington
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,15,
17,Jonathon Simmons\simmojo02,SG,6-6,195,September 14 1989,us,1,University of Houston
