Rk	Pk	Tm	Player	Pos	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
1	1	PHI	Ben Simmons\simmobe01	PF	Louisiana State University	2	160	5432	2616	1356	1271	0.554	0	0.583	34	16.4	8.5	7.9	17.5	0.154	4.3	8.7
2	2	LAL	Brandon Ingram\ingrabr01	SF	Duke University	3	190	6014	2639	897	550	0.458	0.329	0.662	31.7	13.9	4.7	2.9	4.5	0.036	-2.7	-1
3	3	BOS	Jaylen Brown\brownja02	SF	University of California	3	222	5406	2496	879	278	0.462	0.365	0.658	24.4	11.2	4	1.3	9	0.08	-1.8	0.3
4	4	PHO	Dragan Bender\bendedr01	PF		3	171	3469	907	647	209	0.394	0.321	0.647	20.3	5.3	3.8	1.2	0.2	0.002	-3.1	-1
5	5	MIN	Kris Dunn\dunnkr01	PG	Providence College	3	176	4247	1511	574	775	0.417	0.323	0.723	24.1	8.6	3.3	4.4	1.6	0.018	-1.3	0.7
6	6	NOP	Buddy Hield\hieldbu01	SG	University of Oklahoma	3	244	6527	3640	988	481	0.446	0.419	0.874	26.8	14.9	4	2	10	0.073	-0.4	2.7
7	7	DEN	Jamal Murray\murraja01	PG	University of Kentucky	3	238	6776	3530	828	807	0.434	0.362	0.879	28.5	14.8	3.5	3.4	12	0.085	-0.7	2.2
8	8	SAC	Marquese Chriss\chrisma01	PF	University of Washington	3	197	3769	1491	885	165	0.429	0.296	0.628	19.1	7.6	4.5	0.8	2.3	0.029	-2.4	-0.4
9	9	TOR	Jakob Poeltl\poeltja01	C	University of Utah	3	213	3423	1155	968	162	0.643	0.5	0.56	16.1	5.4	4.5	0.8	12.3	0.173	2.9	4.2
10	10	MIL	Thon Maker\makerth01	PF		3	195	2772	905	541	114	0.421	0.326	0.677	14.2	4.6	2.8	0.6	4.8	0.083	-1.7	0.2
11	11	ORL	Domantas Sabonis\sabondo01	PF	Gonzaga University	3	229	5280	2383	1550	445	0.513	0.343	0.722	23.1	10.4	6.8	1.9	13.1	0.119	-0.3	2.3
12	12	UTA	Taurean Prince\princta02	SF	Baylor University	3	196	4997	2235	745	387	0.427	0.38	0.823	25.5	11.4	3.8	2	4.6	0.044	-1.4	0.8
13	13	PHO	Georgios Papagiannis\papagge01	C		2	39	477	160	123	29	0.514	0	0.857	12.2	4.1	3.2	0.7	0.4	0.044	-3	-0.1
14	14	CHI	Denzel Valentine\valende01	SG	Michigan State University	2	134	3071	1074	544	307	0.399	0.374	0.754	22.9	8	4.1	2.3	3.1	0.048	-1.2	0.6
15	15	DEN	Juan Hernangomez\hernaju01	SF		3	157	2477	795	506	96	0.437	0.366	0.764	15.8	5.1	3.2	0.6	5.1	0.1	-1.3	0.4
16	16	BOS	Guerschon Yabusele\yabusgu01	PF		2	74	486	173	105	31	0.442	0.323	0.682	6.6	2.3	1.4	0.4	1.1	0.105	-1.5	0.1
17	17	MEM	Wade Baldwin\baldwwa01	PG	Vanderbilt University	3	56	579	174	69	78	0.355	0.25	0.776	10.3	3.1	1.2	1.4	-0.3	-0.028	-5.7	-0.5
18	18	DET	Henry Ellenson\ellenhe01	PF	Marquette University	3	76	734	325	188	43	0.377	0.353	0.774	9.7	4.3	2.5	0.6	0.3	0.022	-6.1	-0.8
19	19	DEN	Malik Beasley\beaslma01	SG	Florida State University	3	165	2627	1196	288	139	0.461	0.388	0.789	15.9	7.2	1.7	0.8	5	0.092	-1.7	0.2
20	20	IND	Caris LeVert\leverca01	SG	University of Michigan	3	168	4164	1873	599	565	0.437	0.329	0.707	24.8	11.1	3.6	3.4	5.8	0.066	-0.6	1.5
