No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
50,Joel Anthony\anthojo01,C,6-9,245,August 9 1982,ca,8,University of Nevada Las Vegas
12,Aron Baynes\baynear01,C,6-10,260,December 9 1986,nz,3,Washington State University
22,Steve Blake\blakest01,PG,6-3,172,February 26 1980,us,12,University of Maryland
25,Reggie Bullock\bullore01,SF,6-7,205,March 16 1991,us,2,University of North Carolina
5,Kentavious Caldwell-Pope\caldwke01,SG,6-5,205,February 18 1993,us,2,University of Georgia
8,Spencer Dinwiddie\dinwisp01,PG,6-6,210,April 6 1993,us,1,University of Colorado
0,Andre Drummond\drumman01,C,6-11,279,August 10 1993,us,3,University of Connecticut
32,Justin Harper\harpeju01,PF,6-10,225,August 30 1989,us,1,University of Richmond
34,Tobias Harris\harrito02,PF,6-9,235,July 15 1992,us,4,University of Tennessee
6,Darrun Hilliard\hillida01,SG,6-6,205,April 13 1993,us,R,Villanova University
23,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,7,
1,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,4,Boston College
7,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,6,
3,Stanley Johnson\johnsst04,SF,6-7,245,May 29 1996,us,R,University of Arizona
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,6,University of Kentucky
13,Marcus Morris\morrima03,SF,6-9,235,September 2 1989,us,4,University of Kansas
43,Anthony Tolliver\tollian01,PF,6-8,250,June 1 1985,us,7,Creighton University
