No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
00,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,14,Blinn College
6,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,11,University of Utah
3,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,14,Duke University
20,Kay Felder\feldeka01,PG,5-9,176,March 29 1995,us,R,Oakland University
8,Channing Frye\fryech01,C,7-0,255,May 17 1983,us,10,University of Arizona
2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,5,Duke University
23,LeBron James\jamesle01,SF,6-8,250,December 30 1984,us,13,
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,15,University of Arizona
30,Dahntay Jones\jonesda02,SF,6-6,225,December 27 1980,us,12,Rutgers University Duke University
1,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,13,University of Miami
26,Kyle Korver\korveky01,SG,6-7,212,March 17 1981,us,13,Creighton University
14,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,3,University of Kentucky
0,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,8,University of California Los Angeles
12,Jordan McRae\mcraejo01,SG,6-5,179,March 28 1991,us,1,University of Tennessee
9,Larry Sanders\sandela01,C,6-11,235,November 21 1988,us,5,Virginia Commonwealth University
4,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,5,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,12,
40,Edy Tavares\tavarwa01,C,7-3,260,March 22 1992,cv,1,
13,Tristan Thompson\thomptr01,C,6-10,238,March 13 1991,ca,5,University of Texas at Austin
31,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign
3-32,Derrick Williams\willide02,PF,6-8,240,May 25 1991,us,5,University of Arizona
