No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,2,
5,DeMarre Carroll\carrode01,SF,6-8,215,July 27 1986,us,7,Vanderbilt University University of Missouri
10,DeMar DeRozan\derozde01,SG,6-7,220,August 7 1989,us,7,University of Southern California
9,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,7,
6,Cory Joseph\josepco01,PG,6-3,193,August 20 1991,ca,5,University of Texas at Austin
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,10,Villanova University
92,Lucas Nogueira\noguelu01,C,7-0,241,July 26 1992,br,2,
54,Patrick Patterson\pattepa01,PF,6-9,230,March 14 1989,us,6,University of Kentucky
42,Jakob Poeltl\poeltja01,C,7-0,230,October 15 1995,at,R,University of Utah
24,Norman Powell\powelno01,SG,6-4,215,May 25 1993,us,1,University of California Los Angeles
31,Terrence Ross\rosste01,SF,6-7,206,February 5 1991,us,4,University of Washington
43,Pascal Siakam\siakapa01,PF,6-9,230,April 2 1994,cm,R,New Mexico State University
0,Jared Sullinger\sullija01,PF,6-9,260,March 4 1992,us,4,Ohio State University
2,P.J. Tucker\tuckepj01,SF,6-6,245,May 5 1985,us,5,University of Texas at Austin
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,4,
23,Fred VanVleet\vanvlfr01,PG,6-0,195,February 25 1994,us,R,Wichita State University
55,Delon Wright\wrighde01,PG,6-5,183,April 26 1992,us,1,University of Utah
