No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
30,Brandon Bass\bassbr01,PF,6-8,250,April 30 1985,us,9,Louisiana State University
0,Avery Bradley\bradlav01,SG,6-2,180,November 26 1990,us,4,University of Texas at Austin
99,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,2,Marquette University
70,Luigi Datome\datomlu01,SF,6-8,215,November 27 1987,it,1,
8,Jeff Green\greenje02,SF,6-9,235,August 28 1986,us,6,Georgetown University
8,Jonas Jerebko\jerebjo01,PF,6-10,231,March 2 1987,se,4,
28,Jameer Nelson\nelsoja01,PG,6-0,190,February 9 1982,us,10,Saint Joseph's University
41,Kelly Olynyk\olynyke01,C,7-0,240,April 19 1991,ca,1,Gonzaga University
12,Dwight Powell\poweldw01,PF,6-11,240,July 20 1991,ca,R,Stanford University
26,Phil Pressey\pressph01,PG,5-11,175,February 17 1991,us,1,University of Missouri
12,Tayshaun Prince\princta01,SF,6-9,212,February 28 1980,us,12,University of Kentucky
42,Shavlik Randolph\randosh01,PF,6-10,240,November 24 1983,us,7,Duke University
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,8,University of Kentucky
36,Marcus Smart\smartma01,PG,6-4,220,March 6 1994,us,R,Oklahoma State University
7,Jared Sullinger\sullija01,PF,6-9,260,March 4 1992,us,2,Ohio State University
4,Isaiah Thomas\thomais02,PG,5-9,185,February 7 1989,us,3,University of Washington
4,Marcus Thornton\thornma01,SG,6-4,205,June 5 1987,us,5,Louisiana State University
11,Evan Turner\turneev01,SG,6-7,220,October 27 1988,us,4,Ohio State University
45,Gerald Wallace\wallage01,SF,6-7,215,July 23 1982,us,13,University of Alabama
12,Brandan Wright\wrighbr03,PF,6-10,210,October 5 1987,us,6,University of North Carolina
13,James Young\youngja01,SG,6-6,215,August 16 1995,us,R,University of Kentucky
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,2,University of North Carolina
