No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
4,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,4,Baylor University
1,Justin Anderson\anderju01,SF,6-6,230,November 19 1993,us,1,University of Virginia
5,J.J. Barea\bareajo01,PG,6-0,185,June 26 1984,pr,10,Northeastern University
40,Harrison Barnes\barneha02,PF,6-8,225,May 30 1992,us,4,University of North Carolina
42,Ben Bentil\bentibe01,PF,6-9,235,March 29 1995,gh,R,Providence College
6,Andrew Bogut\bogutan01,C,7-0,260,November 28 1984,au,11,University of Utah
9,Nicolas Brussino\brussni01,SG,6-7,195,March 2 1993,ar,R,
2,Quinn Cook\cookqu01,PG,6-2,179,March 23 1993,us,R,Duke University
30,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,3,Liberty University Duke University
11,Yogi Ferrell\ferreyo01,PG,6-0,180,May 9 1993,us,R,Indiana University
10,Dorian Finney-Smith\finnedo01,PF,6-8,220,May 4 1993,us,R,University of Florida
3,Jonathan Gibson\gibsojo01,PG,6-2,185,November 8 1987,us,R,New Mexico State University
20,A.J. Hammons\hammoaj01,C,7-0,260,August 27 1992,us,R,Purdue University
34,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,12,University of Wisconsin
6,Manny Harris\harrima01,SG,6-5,185,September 21 1989,us,3,University of Michigan
55,Pierre Jackson\jackspi01,PG,5-10,180,August 29 1991,us,R,Baylor University
14,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,3,University of Kentucky
23,Wesley Matthews\matthwe02,SG,6-5,220,October 14 1986,us,7,Marquette University
50,Salah Mejri\mejrisa01,C,7-2,235,June 15 1986,tn,1,
3,Nerlens Noel\noelne01,C,6-11,220,April 10 1994,us,2,University of Kentucky
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,18,
7,Dwight Powell\poweldw01,C,6-11,240,July 20 1991,ca,2,Stanford University
19,Jarrod Uthoff\uthofja01,PF,6-9,221,May 19 1993,us,R,University of Iowa
8,Deron Williams\willide01,PG,6-3,200,June 26 1984,us,11,University of Illinois at Urbana-Champaign
