No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Luke Babbitt\babbilu01,SF,6-9,225,June 20 1989,us,6,University of Nevada Reno
7,Goran Dragic\dragigo01,PG,6-3,190,May 6 1986,si,8,
2,Wayne Ellington\ellinwa01,SG,6-5,200,November 29 1987,us,7,University of North Carolina
40,Udonis Haslem\hasleud01,C,6-8,235,June 9 1980,us,13,University of Florida
16,James Johnson\johnsja01,PF,6-8,240,February 20 1987,us,7,Wake Forest University
8,Tyler Johnson\johnsty01,PG,6-4,190,May 7 1992,us,2,California State University Fresno
17,Rodney McGruder\mcgruro01,SG,6-4,200,July 29 1991,us,R,Kansas State University
4,Josh McRoberts\mcrobjo01,PF,6-10,240,February 28 1987,us,9,Duke University
35,Willie Reed\reedwi02,C,6-10,220,May 16 1990,us,1,Saint Louis University
0,Josh Richardson\richajo01,SG,6-6,200,September 15 1993,us,1,University of Tennessee
11,Dion Waiters\waitedi01,SG,6-4,215,December 10 1991,us,4,Syracuse University
15,Okaro White\whiteok01,PF,6-8,205,August 13 1992,us,R,Florida State University
21,Hassan Whiteside\whiteha01,C,7-0,265,June 13 1989,us,4,Marshall University
22,Derrick Williams\willide02,PF,6-8,240,May 25 1991,us,5,University of Arizona
20,Justise Winslow\winslju01,SF,6-7,225,March 26 1996,us,1,Duke University
