No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Reggie Jackson,PG,6-3,208,April 16 1990,it,7,Boston College
30,Jon Leuer,PF,6-10,228,May 14 1989,us,7,University of Wisconsin
14,Ish Smith,PG,6-0,175,July 5 1988,us,8,Wake Forest University
0,Andre Drummond,C,6-11,279,August 10 1993,us,6,University of Connecticut
7,Thon Maker,PF,7-1,221,February 25 1997,ss,2,
5,Luke Kennard,SG,6-5,206,June 24 1996,us,1,Duke University
9,Langston Galloway,SG,6-2,200,December 9 1991,us,4,Saint Joseph's University
23,Blake Griffin,PF,6-10,250,March 16 1989,us,8,University of Oklahoma
6,Bruce Brown,SG,6-5,202,August 15 1996,us,R,University of Miami
22,Glenn Robinson III,SF,6-6,222,January 8 1994,us,4,University of Michigan
81,Jose Calderon,PG,6-3,200,September 28 1981,es,13,
19,Sviatoslav Mykhailiuk,SF,6-8,205,June 10 1997,ua,R,University of Kansas
27,Zaza Pachulia,C,6-11,270,February 10 1984,ge,15,
13,Khyri Thomas,SG,6-3,210,May 8 1996,us,R,Creighton University
24,Kalin Lucas  (TW),PG,6-1,195,May 24 1989,us,1,Michigan State University
,Isaiah Whitehead  (TW),G,6-4,213,March 8 1995,us,2,Seton Hall University
20,Wayne Ellington,SG,6-5,200,November 29 1987,us,9,University of North Carolina
