No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
22,Jerrelle Benimon\benimje01,PF,6-8,245,August 1 1991,us,R,Georgetown University Towson University
33,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,4,Clemson University
3,Trey Burke\burketr01,PG,6-1,175,November 12 1992,us,1,University of Michigan
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,3,University of Colorado
19,Patrick Christopher\chrispa01,SG,6-5,209,June 3 1988,us,R,University of California
21,Ian Clark\clarkia01,SG,6-3,175,March 7 1991,us,1,Belmont University
45,Jack Cooley\cooleja01,C,6-9,260,April 4 1991,us,R,University of Notre Dame
8,Bryce Cotton\cottobr01,PG,6-1,165,August 11 1992,us,R,Providence College
40,Jeremy Evans\evansje01,SF,6-9,200,October 24 1987,us,4,Western Kentucky University
11,Dante Exum\exumda01,PG,6-6,190,July 13 1995,au,R,
15,Derrick Favors\favorde01,PF,6-10,265,July 15 1991,us,4,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,1,
20,Gordon Hayward\haywago01,SF,6-8,225,March 23 1990,us,4,Butler University
5,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,R,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6-8,226,October 2 1987,au,R,
17,Grant Jerrett\jerregr01,PF,6-10,235,July 8 1993,us,R,University of Arizona
23,Chris Johnson\johnsch04,SF,6-6,206,April 29 1990,us,2,University of Dayton
0,Enes Kanter\kanteen01,C,6-11,250,May 20 1992,ch,3,
13,Elijah Millsap\millsel01,SG,6-6,225,August 12 1987,us,R,University of Louisiana at Lafayette University of Alabama at Birmingham
23,Toure' Murry\murryto01,PG,6-5,195,November 8 1989,us,1,Wichita State University
16,Steve Novak\novakst01,SF,6-10,225,June 13 1983,us,8,Marquette University
25,Elliot Williams\williel01,SG,6-5,190,June 20 1989,us,2,Duke University University of Memphis
