No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
34,Giannis Antetokounmpo\antetgi01,SF,6-11,242,December 6 1994,gr,3,
9,Michael Beasley\beaslmi01,PF,6-9,235,January 9 1989,us,8,Kansas State University
13,Malcolm Brogdon\brogdma01,SG,6-5,229,December 11 1992,us,R,University of Virginia
8,Matthew Dellavedova\dellama01,PG,6-4,200,September 8 1990,au,3,Saint Mary's College of California
00,Spencer Hawes\hawessp01,PF,7-1,245,April 28 1988,us,9,University of Washington
31,John Henson\hensojo01,C,6-11,219,December 28 1990,us,4,University of North Carolina
6,Terrence Jones\joneste01,PF,6-9,252,January 9 1992,us,4,University of Kentucky
7,Thon Maker\makerth01,C,7-1,221,February 25 1997,ss,R,
22,Khris Middleton\middlkh01,SF,6-8,222,August 12 1991,us,4,Texas A&M University
15,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,6,Georgetown University
6,Steve Novak\novakst01,PF,6-10,225,June 13 1983,us,10,Marquette University
12,Jabari Parker\parkeja01,PF,6-8,245,March 15 1995,us,2,Duke University
0,Gary Payton\paytoga02,PG,6-3,190,December 1 1992,us,R,Oregon State University
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,4,Duke University
21,Tony Snell\snellto01,SG,6-7,213,November 10 1991,us,3,University of New Mexico
35,Mirza Teletovic\teletmi01,PF,6-9,242,September 18 1985,ba,4,
3,Jason Terry\terryja01,SG,6-2,185,September 15 1977,us,17,University of Arizona
6,Axel Toupane\toupaax01,SF,6-7,197,July 23 1992,fr,1,
20,Rashad Vaughn\vaughra01,SG,6-6,202,August 16 1996,us,1,University of Nevada Las Vegas
