Player,Rk,Pk,Tm,Pos,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Rk_coll,From,To,School,Conf,G_coll,MP_coll,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS_coll,OBPM,DBPM,BPM_coll
Shabazz Napier,24,24,CHH,PG,University of Connecticut,5.0,289.0,4642.0,1855.0,499.0,587.0,0.39299999999999996,0.354,0.812,16.1,6.4,1.7,2.0,6.4,0.066,-1.5,0.5,919.0,2014.0,2014.0,Connecticut,AAC,40.0,1404.0,25.5,0.591,0.517,3.4,15.0,9.7,30.8,3.2,1.0,15.8,27.5,745.0,118.9,94.9,4.9,3.1,7.9,8.2,4.1,12.3
Doug McDermott,11,11,DEN,SF,Creighton University,5.0,341.0,6798.0,2659.0,726.0,269.0,0.45899999999999996,0.40399999999999997,0.825,19.9,7.8,2.1,0.8,10.6,0.075,-3.0,-1.8,990.0,2014.0,2014.0,Creighton,Big East,35.0,1181.0,32.8,0.644,0.603,6.4,17.8,12.6,11.5,0.4,0.5,7.9,36.2,788.0,127.4,106.0,6.3,1.4,7.7,9.8,-1.6,8.2
Xavier Thames,59,59,TOR,PG,San Diego State University,,,,,,,,,,,,,,,,,,1063.0,2014.0,2014.0,San Diego State,MWC,36.0,1126.0,26.5,0.557,0.478,2.1,8.5,5.3,23.7,3.3,0.5,8.2,28.6,607.0,124.8,91.6,4.7,2.8,7.5,7.9,2.2,10.1
Jarnell Stokes,35,35,UTA,PF,University of Tennessee,3.0,28.0,151.0,67.0,40.0,7.0,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.20199999999999999,1.0,0.1,1305.0,2014.0,2014.0,Tennessee,SEC,37.0,1199.0,27.6,0.5760000000000001,0.531,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,575.0,121.9,95.4,4.2,2.6,6.8,5.8,4.3,10.0
K.J. McDaniels,32,32,PHI,SF,Clemson University,3.0,148.0,2092.0,782.0,324.0,95.0,0.41200000000000003,0.29,0.7759999999999999,14.1,5.3,2.2,0.6,1.3,0.03,-3.3,-0.7,1344.0,2014.0,2014.0,Clemson,ACC,36.0,1212.0,28.4,0.5660000000000001,0.505,8.8,15.9,12.5,12.8,2.3,8.9,13.3,29.1,579.0,114.4,90.8,3.6,3.1,6.7,5.6,7.3,12.9
Russ Smith,47,47,PHI,PG,University of Louisville,2.0,27.0,131.0,53.0,15.0,19.0,0.319,0.188,0.769,4.9,2.0,0.6,0.7,-0.2,-0.068,-6.4,-0.1,1359.0,2014.0,2014.0,Louisville,AAC,37.0,1084.0,26.2,0.5760000000000001,0.541,2.9,9.6,6.2,31.6,4.0,0.4,15.2,30.7,662.0,116.9,89.8,3.9,2.9,6.7,7.9,3.2,11.1
Nick Johnson,42,42,HOU,PG,University of Arizona,1.0,28.0,262.0,74.0,39.0,11.0,0.34700000000000003,0.23800000000000002,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3,1337.0,2014.0,2014.0,Arizona,Pac-12,38.0,1257.0,21.5,0.5489999999999999,0.498,3.0,11.1,7.2,17.6,2.1,2.0,10.2,26.3,573.0,117.0,92.4,3.6,3.1,6.7,5.7,4.6,10.3
Cameron Bairstow,49,49,CHI,PF,University of New Mexico,2.0,36.0,167.0,44.0,36.0,7.0,0.29600000000000004,0.2,0.846,4.6,1.2,1.0,0.2,-0.1,-0.021,-7.7,-0.2,1410.0,2014.0,2014.0,New Mexico,MWC,34.0,1119.0,29.0,0.611,0.5579999999999999,8.5,16.5,12.8,11.8,1.0,4.9,10.7,29.9,627.0,122.9,99.6,4.5,2.0,6.5,4.9,2.6,7.5
T.J. Warren,14,14,PHO,SF,North Carolina State University,5.0,261.0,7234.0,3754.0,1078.0,293.0,0.49700000000000005,0.34,0.7659999999999999,27.7,14.4,4.1,1.1,13.0,0.086,-1.3,1.3,1457.0,2014.0,2014.0,North Carolina State,ACC,35.0,1238.0,31.3,0.574,0.5479999999999999,10.8,12.7,11.8,8.6,3.1,1.8,9.9,35.5,775.0,116.6,103.6,4.7,1.7,6.5,8.3,0.5,8.8
Jordan Adams,22,22,MEM,SG,University of California Los Angeles,2.0,32.0,263.0,101.0,30.0,19.0,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1,1463.0,2014.0,2014.0,UCLA,Pac-12,36.0,1082.0,28.3,0.603,0.545,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,594.0,125.1,96.9,4.2,2.2,6.4,8.7,3.3,12.0
