No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Jeff Adrien\adrieje01,PF,6-7,245,February 10 1986,us,4,University of Connecticut
24,Anthony Bennett\bennean01,PF,6-8,245,March 14 1993,ca,1,University of Nevada Las Vegas
13,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,7,University of Florida
7,Lorenzo Brown\brownlo01,PG,6-5,189,August 26 1990,us,1,North Carolina State University
10,Chase Budinger\budinch01,SF,6-7,209,May 22 1988,us,5,University of Arizona
30,Troy Daniels\danietr01,SG,6-4,205,July 15 1991,us,1,Virginia Commonwealth University
5,Gorgui Dieng\dienggo01,C,6-11,252,January 18 1990,sn,1,University of Louisville
21,Kevin Garnett\garneke01,PF,6-11,240,May 19 1976,us,19,
41,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,1,Iowa State University Louisiana State University
4,Robbie Hummel\hummero01,SF,6-8,215,March 8 1989,us,1,Purdue University
1,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,R,University of Cincinnati
8,Zach LaVine\lavinza01,PG,6-5,200,March 10 1995,us,R,University of California Los Angeles
23,Kevin Martin\martike02,SG,6-7,199,February 1 1983,us,10,Western Carolina University
15,Shabazz Muhammad\muhamsh01,SG,6-6,223,November 13 1992,us,1,University of California Los Angeles
12,Gary Neal\nealga01,SG,6-4,210,October 3 1984,us,4,La Salle University Towson University
50,Arinze Onuaku\onuakar01,C,6-9,255,July 13 1987,us,1,Syracuse University
3,Adreian Payne\paynead01,PF,6-10,237,February 19 1991,us,R,Michigan State University
14,Nikola Pekovic\pekovni01,C,6-11,307,January 3 1986,me,4,
13,Miroslav Raduljica\radulmi01,C,7-0,250,January 5 1988,rs,1,
1,Glenn Robinson\robingl02,SG,6-6,222,January 8 1994,us,R,University of Michigan
9,Ricky Rubio\rubiori01,PG,6-4,190,October 21 1990,es,3,
32,Ronny Turiaf\turiaro01,C,6-10,249,January 13 1983,mq,9,Gonzaga University
22,Andrew Wiggins\wiggian01,SF,6-8,194,February 23 1995,ca,R,University of Kansas
25,Mo Williams\willima01,PG,6-1,198,December 19 1982,us,11,University of Alabama
33,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,7,Georgia Institute of Technology
